,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-02-26,BR,Brazil,AMRO,1.0,1.0,0.0,0.0,-55957.818716401656,-498.9233211492274
1,2020-02-27,BR,Brazil,AMRO,0.0,1.0,0.0,0.0,-55957.11258246907,-498.8943066293153
2,2020-02-28,BR,Brazil,AMRO,0.0,1.0,0.0,0.0,-55952.16964494094,-498.69120498993044
3,2020-02-29,BR,Brazil,AMRO,0.0,1.0,0.0,0.0,-55938.753100221635,-498.139929111599
4,2020-03-01,BR,Brazil,AMRO,1.0,2.0,0.0,0.0,-55912.62614471593,-497.06639187485206
5,2020-03-02,BR,Brazil,AMRO,0.0,2.0,0.0,0.0,-55869.55197482808,-495.2965061602168
6,2020-03-03,BR,Brazil,AMRO,0.0,2.0,0.0,0.0,-55805.293786961505,-492.6561848482003
7,2020-03-04,BR,Brazil,AMRO,1.0,3.0,0.0,0.0,-55715.6147775234,-488.9713408194141
8,2020-03-05,BR,Brazil,AMRO,4.0,7.0,0.0,0.0,-55596.27814291582,-484.06788695422495
9,2020-03-06,BR,Brazil,AMRO,1.0,8.0,0.0,0.0,-55443.04707954227,-477.77173613332843
10,2020-03-07,BR,Brazil,AMRO,11.0,19.0,0.0,0.0,-55251.684783813034,-469.9088012371426
11,2020-03-08,BR,Brazil,AMRO,0.0,19.0,0.0,0.0,-55017.95445212245,-460.3049951463174
12,2020-03-09,BR,Brazil,AMRO,6.0,25.0,0.0,0.0,-54737.61928088048,-448.78623074101097
13,2020-03-10,BR,Brazil,AMRO,0.0,25.0,0.0,0.0,-54406.442466494475,-435.17842090331305
14,2020-03-11,BR,Brazil,AMRO,9.0,34.0,0.0,0.0,-54020.187205375565,-419.307478510721
15,2020-03-12,BR,Brazil,AMRO,18.0,52.0,0.0,0.0,-53574.61669391622,-400.999316445992
16,2020-03-13,BR,Brazil,AMRO,46.0,98.0,0.0,0.0,-53065.494128514976,-380.07984758920793
17,2020-03-14,BR,Brazil,AMRO,23.0,121.0,0.0,0.0,-52488.58270559831,-356.37498482121464
18,2020-03-15,BR,Brazil,AMRO,0.0,121.0,0.0,0.0,-51839.64562152657,-329.7106410220358
19,2020-03-16,BR,Brazil,AMRO,79.0,200.0,0.0,0.0,-51114.446072768136,-299.9127290729766
20,2020-03-17,BR,Brazil,AMRO,34.0,234.0,0.0,0.0,-50308.74725569268,-266.80716185254914
21,2020-03-18,BR,Brazil,AMRO,57.0,291.0,1.0,1.0,-49418.312366707105,-230.21985224635773
22,2020-03-19,BR,Brazil,AMRO,137.0,428.0,3.0,4.0,-48438.90460216804,-189.97671312594775
23,2020-03-20,BR,Brazil,AMRO,193.0,621.0,0.0,4.0,-47366.28715858112,-145.90365738332457
24,2020-03-21,BR,Brazil,AMRO,283.0,904.0,7.0,11.0,-46196.223232232194,-97.8265978834961
25,2020-03-22,BR,Brazil,AMRO,0.0,904.0,0.0,11.0,-44924.47601970514,-45.571447523608185
26,2020-03-23,BR,Brazil,AMRO,0.0,904.0,0.0,11.0,-43546.808717144195,11.035880818087207
27,2020-03-24,BR,Brazil,AMRO,1297.0,2201.0,35.0,46.0,-42058.98452127858,72.16947428165167
28,2020-03-25,BR,Brazil,AMRO,0.0,2201.0,0.0,46.0,-40456.76662819293,138.00341995882354
29,2020-03-26,BR,Brazil,AMRO,232.0,2433.0,11.0,57.0,-38735.91823444129,208.71180498783815
30,2020-03-27,BR,Brazil,AMRO,0.0,2433.0,0.0,57.0,-36892.202536518176,284.4687164766556
31,2020-03-28,BR,Brazil,AMRO,482.0,2915.0,20.0,77.0,-34921.38273066467,365.4482415412249
32,2020-03-29,BR,Brazil,AMRO,502.0,3417.0,15.0,92.0,-32819.22201330823,451.8244673309282
33,2020-03-30,BR,Brazil,AMRO,487.0,3904.0,22.0,114.0,-30581.483580868764,543.7714809374638
34,2020-03-31,BR,Brazil,AMRO,352.0,4256.0,22.0,136.0,-28203.9306299749,641.4633694748745
