,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-02-26,BR,Brazil,AMRO,1.0,1.0,0.0,0.0,-63067.04624873179,-499.74982416804716
1,2020-02-27,BR,Brazil,AMRO,0.0,1.0,0.0,0.0,-63066.33948279896,-499.72076377984604
2,2020-02-28,BR,Brazil,AMRO,0.0,1.0,0.0,0.0,-63061.39212126915,-499.51734106243805
3,2020-02-29,BR,Brazil,AMRO,0.0,1.0,0.0,0.0,-63047.96356854518,-498.96519368661626
4,2020-03-01,BR,Brazil,AMRO,1.0,2.0,0.0,0.0,-63021.81322903065,-497.8899593231742
5,2020-03-02,BR,Brazil,AMRO,0.0,2.0,0.0,0.0,-62978.70050712734,-496.11727564290425
6,2020-03-03,BR,Brazil,AMRO,0.0,2.0,0.0,0.0,-62914.384807238916,-493.47278031659977
7,2020-03-04,BR,Brazil,AMRO,1.0,3.0,0.0,0.0,-62824.62553376998,-489.7821110150542
8,2020-03-05,BR,Brazil,AMRO,4.0,7.0,0.0,0.0,-62705.182091122675,-484.87090540906325
9,2020-03-06,BR,Brazil,AMRO,1.0,8.0,0.0,0.0,-62551.81388369161,-478.56480116941583
10,2020-03-07,BR,Brazil,AMRO,11.0,19.0,0.0,0.0,-62360.280315896154,-470.689435966904
11,2020-03-08,BR,Brazil,AMRO,0.0,19.0,0.0,0.0,-62126.34079212152,-461.07044747232464
12,2020-03-09,BR,Brazil,AMRO,6.0,25.0,0.0,0.0,-61845.754716788775,-449.5334733564682
13,2020-03-10,BR,Brazil,AMRO,0.0,25.0,0.0,0.0,-61514.28149427509,-435.9041512901264
14,2020-03-11,BR,Brazil,AMRO,9.0,34.0,0.0,0.0,-61127.680529037265,-420.0081189441038
15,2020-03-12,BR,Brazil,AMRO,18.0,52.0,0.0,0.0,-60681.71122541058,-401.6710139891808
16,2020-03-13,BR,Brazil,AMRO,46.0,98.0,0.0,0.0,-60172.13298785885,-380.718474096176
17,2020-03-14,BR,Brazil,AMRO,23.0,121.0,0.0,0.0,-59594.70522071084,-356.9761369358162
18,2020-03-15,BR,Brazil,AMRO,0.0,121.0,0.0,0.0,-58945.18732841034,-330.2696401789964
19,2020-03-16,BR,Brazil,AMRO,79.0,200.0,0.0,0.0,-58219.33871541103,-300.4246214964006
20,2020-03-17,BR,Brazil,AMRO,34.0,234.0,0.0,0.0,-57412.918786046685,-267.2667185589021
21,2020-03-18,BR,Brazil,AMRO,57.0,291.0,1.0,1.0,-56521.686944780995,-230.621569037263
22,2020-03-19,BR,Brazil,AMRO,137.0,428.0,3.0,4.0,-55541.4025958496,-190.3148106022673
23,2020-03-20,BR,Brazil,AMRO,193.0,621.0,0.0,4.0,-54467.82514386543,-146.1720809247429
24,2020-03-21,BR,Brazil,AMRO,283.0,904.0,7.0,11.0,-53296.71399318765,-98.01901767541563
25,2020-03-22,BR,Brazil,AMRO,0.0,904.0,0.0,11.0,-52023.82854819077,-45.68125852516397
26,2020-03-23,BR,Brazil,AMRO,0.0,904.0,0.0,11.0,-50644.92821307819,11.01555885531883
27,2020-03-24,BR,Brazil,AMRO,1297.0,2201.0,35.0,46.0,-49155.77239267587,72.2457967950233
28,2020-03-25,BR,Brazil,AMRO,0.0,2201.0,0.0,46.0,-47552.12049117557,138.1838176234997
29,2020-03-26,BR,Brazil,AMRO,232.0,2433.0,11.0,57.0,-45829.73191274901,209.00398366956432
30,2020-03-27,BR,Brazil,AMRO,0.0,2433.0,0.0,57.0,-43984.3660621621,284.88065726288386
31,2020-03-28,BR,Brazil,AMRO,482.0,2915.0,20.0,77.0,-42011.78234366759,365.98820073219423
32,2020-03-29,BR,Brazil,AMRO,502.0,3417.0,15.0,92.0,-39907.74016174826,452.5009764069221
33,2020-03-30,BR,Brazil,AMRO,487.0,3904.0,22.0,114.0,-37667.99892054557,544.5933466164729
34,2020-03-31,BR,Brazil,AMRO,352.0,4256.0,22.0,136.0,-35288.31802456419,642.4396736898004
35,2020-04-01,BR,Brazil,AMRO,323.0,4579.0,23.0,159.0,-32764.45687836188,746.2143199560626
36,2020-04-02,BR,Brazil,AMRO,1138.0,5717.0,42.0,201.0,-30092.174886160188,856.0916477443591
37,2020-04-03,BR,Brazil,AMRO,1119.0,6836.0,40.0,241.0,-27267.231452529908,972.2460193843126
38,2020-04-04,BR,Brazil,AMRO,1074.0,7910.0,58.0,299.0,-24285.385982165702,1094.8517972051252
39,2020-04-05,BR,Brazil,AMRO,1146.0,9056.0,60.0,359.0,-21142.397878396914,1224.083343535299
40,2020-04-06,BR,Brazil,AMRO,1222.0,10278.0,73.0,432.0,-17834.026547250927,1360.1150207051135
