,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-03-03,CL,Chile,AMRO,1.0,1.0,0.0,0.0,28860.549408842053,-130.05463079398928
1,2020-03-04,CL,Chile,AMRO,0.0,1.0,0.0,0.0,28859.890875213532,-130.05145784819527
2,2020-03-05,CL,Chile,AMRO,0.0,1.0,0.0,0.0,28859.25362572091,-130.0292472276373
3,2020-03-06,CL,Chile,AMRO,4.0,5.0,0.0,0.0,28858.64835492137,-129.96896125755134
4,2020-03-07,CL,Chile,AMRO,0.0,5.0,0.0,0.0,28858.083714762597,-129.85156226317352
5,2020-03-08,CL,Chile,AMRO,5.0,10.0,0.0,0.0,28857.56593159883,-129.6580125697393
6,2020-03-09,CL,Chile,AMRO,0.0,10.0,0.0,0.0,28857.098634792615,-129.3692745024858
7,2020-03-10,CL,Chile,AMRO,3.0,13.0,0.0,0.0,28856.68289024522,-128.96631038664856
8,2020-03-11,CL,Chile,AMRO,4.0,17.0,0.0,0.0,28856.31741056063,-128.43008254746326
9,2020-03-12,CL,Chile,AMRO,6.0,23.0,0.0,0.0,28855.99889988375,-127.74155331016624
10,2020-03-13,CL,Chile,AMRO,20.0,43.0,0.0,0.0,28855.722486751587,-126.88168499998957
11,2020-03-14,CL,Chile,AMRO,18.0,61.0,0.0,0.0,28855.482201335482,-125.83143994217795
12,2020-03-15,CL,Chile,AMRO,0.0,61.0,0.0,0.0,28855.27146136381,-124.5717804619616
13,2020-03-16,CL,Chile,AMRO,14.0,75.0,0.0,0.0,28855.083540267704,-123.083668884572
14,2020-03-17,CL,Chile,AMRO,81.0,156.0,0.0,0.0,28854.911998607164,-121.3480675352636
15,2020-03-18,CL,Chile,AMRO,82.0,238.0,0.0,0.0,28854.75106388195,-119.34593873924698
16,2020-03-19,CL,Chile,AMRO,104.0,342.0,0.0,0.0,28854.595944463807,-117.05824482178102
17,2020-03-20,CL,Chile,AMRO,92.0,434.0,0.0,0.0,28854.443062282266,-114.46594810806513
18,2020-03-21,CL,Chile,AMRO,0.0,434.0,1.0,1.0,28854.290188682844,-111.55001092340498
19,2020-03-22,CL,Chile,AMRO,0.0,434.0,0.0,1.0,28854.136471140093,-108.29139559298389
20,2020-03-23,CL,Chile,AMRO,198.0,632.0,0.0,1.0,28853.98234680524,-104.67106444199166
21,2020-03-24,CL,Chile,AMRO,290.0,922.0,1.0,2.0,28853.82935202512,-100.66997979578863
22,2020-03-25,CL,Chile,AMRO,0.0,922.0,0.0,2.0,28853.67985289789,-96.26910397949868
23,2020-03-26,CL,Chile,AMRO,384.0,1306.0,2.0,4.0,28853.536737023103,-91.44939931842154
24,2020-03-27,CL,Chile,AMRO,0.0,1306.0,0.0,4.0,28853.40311662109,-86.19182813776783
25,2020-03-28,CL,Chile,AMRO,304.0,1610.0,1.0,5.0,28853.28209443081,-80.4773527627784
26,2020-03-29,CL,Chile,AMRO,299.0,1909.0,1.0,6.0,28853.17663419401,-74.28693551865112
27,2020-03-30,CL,Chile,AMRO,0.0,1909.0,0.0,6.0,28853.089557488664,-67.60153873068006
28,2020-03-31,CL,Chile,AMRO,540.0,2449.0,2.0,8.0,28853.02366123568,-60.402124724183835
29,2020-04-01,CL,Chile,AMRO,289.0,2738.0,4.0,12.0,28852.981920627244,-52.66965582416046
30,2020-04-02,CL,Chile,AMRO,293.0,3031.0,4.0,16.0,28852.967716923962,-44.38509435605087
31,2020-04-03,CL,Chile,AMRO,373.0,3404.0,2.0,18.0,28852.985014679198,-35.52940264504727
32,2020-04-04,CL,Chile,AMRO,333.0,3737.0,4.0,22.0,28853.03841287109,-26.083543016323205
33,2020-04-05,CL,Chile,AMRO,424.0,4161.0,5.0,27.0,28853.13301066091,-16.028477795187285
34,2020-04-06,CL,Chile,AMRO,310.0,4471.0,7.0,34.0,28853.274059131712,-5.345169306596148
35,2020-04-07,CL,Chile,AMRO,344.0,4815.0,3.0,37.0,28853.466410281715,5.985420123737782
36,2020-04-08,CL,Chile,AMRO,301.0,5116.0,6.0,43.0,28853.713816419273,17.982328170685065
37,2020-04-09,CL,Chile,AMRO,430.0,5546.0,5.0,48.0,28854.01816886531,30.664592509344544
38,2020-04-10,CL,Chile,AMRO,426.0,5972.0,9.0,57.0,28854.37878738189,44.051250814053816
39,2020-04-11,CL,Chile,AMRO,529.0,6501.0,8.0,65.0,28854.79187627684,58.16134076004633
40,2020-04-12,CL,Chile,AMRO,426.0,6927.0,8.0,73.0,28855.25024827985,73.01390002199165
41,2020-04-13,CL,Chile,AMRO,286.0,7213.0,7.0,80.0,28855.743385205315,88.62796627412732
42,2020-04-14,CL,Chile,AMRO,312.0,7525.0,2.0,82.0,28856.25786034392,105.02257719161585
43,2020-04-15,CL,Chile,AMRO,392.0,7917.0,10.0,92.0,28856.77809871129,122.2167704496043
44,2020-04-16,CL,Chile,AMRO,356.0,8273.0,2.0,94.0,28857.287405627656,140.22958372193548
45,2020-04-17,CL,Chile,AMRO,534.0,8807.0,11.0,105.0,28857.769158765463,159.08005468403113
46,2020-04-18,CL,Chile,AMRO,445.0,9252.0,11.0,116.0,28858.20803902547,178.7872210105526
47,2020-04-19,CL,Chile,AMRO,478.0,9730.0,10.0,126.0,28858.591173946148,199.37012037607215
48,2020-04-20,CL,Chile,AMRO,358.0,10088.0,7.0,133.0,28858.90908338702,220.8477904557823
49,2020-04-21,CL,Chile,AMRO,419.0,10507.0,6.0,139.0,28859.156347705306,243.2392689239479
50,2020-04-22,CL,Chile,AMRO,325.0,10832.0,8.0,147.0,28859.33195807415,266.56359345569774
51,2020-04-23,CL,Chile,AMRO,464.0,11296.0,13.0,160.0,28859.439350141234,290.8398017259443
52,2020-04-24,CL,Chile,AMRO,516.0,11812.0,8.0,168.0,28859.48615886014,316.08693140871594
53,2020-04-25,CL,Chile,AMRO,494.0,12306.0,6.0,174.0,28859.483758009887,342.3240201790451
54,2020-04-26,CL,Chile,AMRO,552.0,12858.0,7.0,181.0,28859.446658752,369.5701057124844
55,2020-04-27,CL,Chile,AMRO,473.0,13331.0,8.0,189.0,28859.391836639556,397.8442256828404
56,2020-04-28,CL,Chile,AMRO,482.0,13813.0,9.0,198.0,28859.338038188464,427.1654177644542
57,2020-04-29,CL,Chile,AMRO,552.0,14365.0,9.0,207.0,28859.305091848437,457.55271963435564
58,2020-04-30,CL,Chile,AMRO,520.0,14885.0,9.0,216.0,28859.31322134236,489.02516896464124
59,2020-05-01,CL,Chile,AMRO,1138.0,16023.0,11.0,227.0,28859.382339612865,521.6018034321406
60,2020-05-02,CL,Chile,AMRO,985.0,17008.0,7.0,234.0,28859.531295239773,555.3016607095179
61,2020-05-03,CL,Chile,AMRO,1427.0,18435.0,13.0,247.0,28859.777053164642,590.1437784741739
