,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-28,DE,Germany,EURO,4.0,4.0,0.0,0.0,41904.233513790125,-0.17381151539692052
1,2020-01-29,DE,Germany,EURO,0.0,4.0,0.0,0.0,41904.28040563363,-0.171062682203326
2,2020-01-30,DE,Germany,EURO,0.0,4.0,0.0,0.0,41904.60864853817,-0.15182084984816424
3,2020-01-31,DE,Germany,EURO,3.0,7.0,0.0,0.0,41905.49959356477,-0.09959301918144103
4,2020-02-01,DE,Germany,EURO,1.0,8.0,0.0,0.0,41907.23459177448,0.00211380899312974
5,2020-02-02,DE,Germany,EURO,2.0,10.0,0.0,0.0,41910.09499422832,0.1697926338242438
6,2020-02-03,DE,Germany,EURO,0.0,10.0,0.0,0.0,41914.362151987254,0.4199364543269154
7,2020-02-04,DE,Germany,EURO,2.0,12.0,0.0,0.0,41920.3174161126,0.7690382701267423
8,2020-02-05,DE,Germany,EURO,0.0,12.0,0.0,0.0,41928.24213766498,1.2335910797234817
9,2020-02-06,DE,Germany,EURO,1.0,13.0,0.0,0.0,41938.41766770572,1.830087883086179
10,2020-02-07,DE,Germany,EURO,1.0,14.0,0.0,0.0,41951.12535729569,2.5750216783723943
11,2020-02-08,DE,Germany,EURO,0.0,14.0,0.0,0.0,41966.64655749612,3.4848854654921695
12,2020-02-09,DE,Germany,EURO,0.0,14.0,0.0,0.0,41985.26261936713,4.576172242393767
13,2020-02-10,DE,Germany,EURO,0.0,14.0,0.0,0.0,42007.25489397182,5.865375012057228
14,2020-02-11,DE,Germany,EURO,2.0,16.0,0.0,0.0,42032.90473236994,7.368986768792382
15,2020-02-12,DE,Germany,EURO,0.0,16.0,0.0,0.0,42062.49348562093,9.103500512613863
16,2020-02-13,DE,Germany,EURO,0.0,16.0,0.0,0.0,42096.30250478898,11.085409245566296
17,2020-02-14,DE,Germany,EURO,0.0,16.0,0.0,0.0,42134.613140936184,13.33120596929777
18,2020-02-15,DE,Germany,EURO,0.0,16.0,0.0,0.0,42177.706745114876,15.857383672467876
19,2020-02-16,DE,Germany,EURO,0.0,16.0,0.0,0.0,42225.864668394126,18.680435359452275
20,2020-02-17,DE,Germany,EURO,0.0,16.0,0.0,0.0,42279.36826183464,21.816854034757597
21,2020-02-18,DE,Germany,EURO,0.0,16.0,0.0,0.0,42338.49887648921,25.283132691681857
22,2020-02-19,DE,Germany,EURO,0.0,16.0,0.0,0.0,42403.5378634381,29.0957643317158
23,2020-02-20,DE,Germany,EURO,0.0,16.0,0.0,0.0,42474.76657371871,33.27124194608379
24,2020-02-21,DE,Germany,EURO,0.0,16.0,0.0,0.0,42552.4663584062,37.82605854692858
25,2020-02-22,DE,Germany,EURO,0.0,16.0,0.0,0.0,42636.91856856545,42.776707133674535
26,2020-02-23,DE,Germany,EURO,0.0,16.0,0.0,0.0,42728.404555243666,48.13968070423627
27,2020-02-24,DE,Germany,EURO,0.0,16.0,0.0,0.0,42827.20566952716,53.931472236170265
28,2020-02-25,DE,Germany,EURO,2.0,18.0,0.0,0.0,42933.603262428674,60.1685747581175
29,2020-02-26,DE,Germany,EURO,3.0,21.0,0.0,0.0,43047.878685050346,66.86748124529888
30,2020-02-27,DE,Germany,EURO,5.0,26.0,0.0,0.0,43170.313288436584,74.04468470868935
31,2020-02-28,DE,Germany,EURO,31.0,57.0,0.0,0.0,43301.18842365415,81.71667816768215
32,2020-02-29,DE,Germany,EURO,0.0,57.0,0.0,0.0,43440.78544178097,89.89995457230881
