,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-30,IN,India,SEARO,1.0,1.0,0.0,0.0,-29740.328748462955,-1256.9815810466266
1,2020-01-31,IN,India,SEARO,0.0,1.0,0.0,0.0,-29740.172610319692,-1256.9765728667833
2,2020-02-01,IN,India,SEARO,0.0,1.0,0.0,0.0,-29739.07964331687,-1256.9415156078794
3,2020-02-02,IN,India,SEARO,1.0,2.0,0.0,0.0,-29736.11301859492,-1256.846360190855
4,2020-02-03,IN,India,SEARO,1.0,3.0,0.0,0.0,-29730.335907294277,-1256.6610575366497
5,2020-02-04,IN,India,SEARO,0.0,3.0,0.0,0.0,-29720.811480555385,-1256.3555585662027
6,2020-02-05,IN,India,SEARO,0.0,3.0,0.0,0.0,-29706.60290951867,-1255.899814200454
7,2020-02-06,IN,India,SEARO,0.0,3.0,0.0,0.0,-29686.77336532458,-1255.2637753603433
8,2020-02-07,IN,India,SEARO,0.0,3.0,0.0,0.0,-29660.386019113546,-1254.4173929668102
9,2020-02-08,IN,India,SEARO,0.0,3.0,0.0,0.0,-29626.504042026,-1253.3306179407941
10,2020-02-09,IN,India,SEARO,0.0,3.0,0.0,0.0,-29584.19060520239,-1251.973401203236
11,2020-02-10,IN,India,SEARO,0.0,3.0,0.0,0.0,-29532.50887978314,-1250.3156936750736
12,2020-02-11,IN,India,SEARO,0.0,3.0,0.0,0.0,-29470.5220369087,-1248.3274462772463
13,2020-02-12,IN,India,SEARO,0.0,3.0,0.0,0.0,-29397.293247719495,-1245.9786099306966
14,2020-02-13,IN,India,SEARO,0.0,3.0,0.0,0.0,-29311.885683355966,-1243.2391355563607
15,2020-02-14,IN,India,SEARO,0.0,3.0,0.0,0.0,-29213.362514958546,-1240.0789740751798
16,2020-02-15,IN,India,SEARO,0.0,3.0,0.0,0.0,-29100.786913667678,-1236.468076408095
17,2020-02-16,IN,India,SEARO,0.0,3.0,0.0,0.0,-28973.222050623797,-1232.3763934760461
18,2020-02-17,IN,India,SEARO,0.0,3.0,0.0,0.0,-28829.73109696734,-1227.7738761999658
19,2020-02-18,IN,India,SEARO,0.0,3.0,0.0,0.0,-28669.37722383874,-1222.6304755008086
20,2020-02-19,IN,India,SEARO,0.0,3.0,0.0,0.0,-28491.22360237844,-1216.9161422995028
21,2020-02-20,IN,India,SEARO,0.0,3.0,0.0,0.0,-28294.33340372686,-1210.6008275169759
22,2020-02-21,IN,India,SEARO,0.0,3.0,0.0,0.0,-28077.76979902446,-1203.6544820742029
23,2020-02-22,IN,India,SEARO,0.0,3.0,0.0,0.0,-27840.595959411665,-1196.047056892093
24,2020-02-23,IN,India,SEARO,0.0,3.0,0.0,0.0,-27581.875056028905,-1187.7485028915835
25,2020-02-24,IN,India,SEARO,0.0,3.0,0.0,0.0,-27300.670260016628,-1178.7287709936313
26,2020-02-25,IN,India,SEARO,0.0,3.0,0.0,0.0,-26996.044742515274,-1168.9578121191873
27,2020-02-26,IN,India,SEARO,0.0,3.0,0.0,0.0,-26667.06167466526,-1158.405577189159
28,2020-02-27,IN,India,SEARO,0.0,3.0,0.0,0.0,-26312.784227607037,-1147.0420171244987
29,2020-02-28,IN,India,SEARO,0.0,3.0,0.0,0.0,-25932.275572481034,-1134.8370828461634
30,2020-02-29,IN,India,SEARO,0.0,3.0,0.0,0.0,-25524.598880427693,-1121.7607252750515
31,2020-03-01,IN,India,SEARO,0.0,3.0,0.0,0.0,-25088.817322587463,-1107.7828953321691
32,2020-03-02,IN,India,SEARO,2.0,5.0,0.0,0.0,-24623.994070100747,-1092.8735439383736
33,2020-03-03,IN,India,SEARO,0.0,5.0,0.0,0.0,-24129.192294108027,-1077.0026220146842
34,2020-03-04,IN,India,SEARO,22.0,27.0,0.0,0.0,-23603.475165749707,-1060.1400804819827
35,2020-03-05,IN,India,SEARO,2.0,29.0,0.0,0.0,-23045.905856166235,-1042.2558702612537
36,2020-03-06,IN,India,SEARO,2.0,31.0,0.0,0.0,-22455.547536498045,-1023.3199422733405
37,2020-03-07,IN,India,SEARO,3.0,34.0,0.0,0.0,-21831.46337788558,-1003.3022474393324
38,2020-03-08,IN,India,SEARO,5.0,39.0,0.0,0.0,-21172.71655146922,-982.1727366800832
39,2020-03-09,IN,India,SEARO,5.0,44.0,0.0,0.0,-20478.370228389507,-959.9013609165371
40,2020-03-10,IN,India,SEARO,6.0,50.0,0.0,0.0,-19747.487579786823,-936.4580710696354
41,2020-03-11,IN,India,SEARO,10.0,60.0,0.0,0.0,-18979.13177680157,-911.812818060271
42,2020-03-12,IN,India,SEARO,14.0,74.0,0.0,0.0,-18172.3659905742,-885.9355528094212
43,2020-03-13,IN,India,SEARO,7.0,81.0,1.0,1.0,-17326.253392245242,-858.7962262381363
44,2020-03-14,IN,India,SEARO,3.0,84.0,1.0,2.0,-16439.857152955006,-830.364789267237
45,2020-03-15,IN,India,SEARO,23.0,107.0,0.0,2.0,-15512.240443843992,-800.6111928176308
46,2020-03-16,IN,India,SEARO,7.0,114.0,0.0,2.0,-14542.46643605263,-769.5053878103581
47,2020-03-17,IN,India,SEARO,23.0,137.0,1.0,3.0,-13529.598300721293,-737.0173251662236
48,2020-03-18,IN,India,SEARO,14.0,151.0,0.0,3.0,-12472.699208990569,-703.1169558062813
49,2020-03-19,IN,India,SEARO,44.0,195.0,1.0,4.0,-11370.83233200078,-667.7742306514613
50,2020-03-20,IN,India,SEARO,0.0,195.0,0.0,4.0,-10223.060840892336,-630.9591006226642
51,2020-03-21,IN,India,SEARO,88.0,283.0,0.0,4.0,-9028.447906805734,-592.64151664098
52,2020-03-22,IN,India,SEARO,58.0,341.0,1.0,5.0,-7786.056700881512,-552.7914296271131
53,2020-03-23,IN,India,SEARO,93.0,434.0,4.0,9.0,-6494.950394259886,-511.3787905023062
54,2020-03-24,IN,India,SEARO,85.0,519.0,0.0,9.0,-5154.192158081405,-468.37355018688595
55,2020-03-25,IN,India,SEARO,87.0,606.0,1.0,10.0,-3762.8451634865087,-423.74565960255904
56,2020-03-26,IN,India,SEARO,43.0,649.0,3.0,13.0,-2319.972581615628,-377.46506966960214
57,2020-03-27,IN,India,SEARO,75.0,724.0,4.0,17.0,-824.6375836091356,-329.50173130944677
58,2020-03-28,IN,India,SEARO,0.0,724.0,0.0,17.0,724.0966593924095,-279.82559544292144
59,2020-03-29,IN,India,SEARO,255.0,979.0,8.0,25.0,2327.1669762486454,-228.40661299080875
60,2020-03-30,IN,India,SEARO,92.0,1071.0,4.0,29.0,3985.5101958191226,-175.2147348740259
61,2020-03-31,IN,India,SEARO,180.0,1251.0,3.0,32.0,5700.063146963294,-120.21991201395304
62,2020-04-01,IN,India,SEARO,385.0,1636.0,6.0,38.0,7471.762658540967,-63.39209533096755
63,2020-04-02,IN,India,SEARO,329.0,1965.0,12.0,50.0,9301.545559411607,-4.701235746216753
64,2020-04-03,IN,India,SEARO,336.0,2301.0,6.0,56.0,11190.348678434697,55.88271581939716
65,2020-04-04,IN,India,SEARO,601.0,2902.0,12.0,68.0,13139.108844469658,118.38980844475645
66,2020-04-05,IN,India,SEARO,472.0,3374.0,9.0,77.0,15148.762886376462,182.850091208913
67,2020-04-06,IN,India,SEARO,693.0,4067.0,32.0,109.0,17220.24763301442,249.29361319119107
68,2020-04-07,IN,India,SEARO,354.0,4421.0,5.0,114.0,19354.499913243017,317.7504234705252
69,2020-04-08,IN,India,SEARO,853.0,5274.0,35.0,149.0,21552.456555921963,388.2505711257404
70,2020-04-09,IN,India,SEARO,591.0,5865.0,20.0,169.0,23815.05438991081,460.824105236356
71,2020-04-10,IN,India,SEARO,547.0,6412.0,30.0,199.0,26143.23024406894,535.5010748814725
72,2020-04-11,IN,India,SEARO,1035.0,7447.0,40.0,239.0,28537.920947256316,612.3115291396621
73,2020-04-12,IN,India,SEARO,909.0,8356.0,34.0,273.0,31000.063328332413,691.2855170896805
74,2020-04-13,IN,India,SEARO,796.0,9152.0,35.0,308.0,33530.594216156045,772.4530878117271
75,2020-04-14,IN,India,SEARO,1211.0,10363.0,31.0,339.0,36130.450439587905,855.8442903844102
76,2020-04-15,IN,India,SEARO,1076.0,11439.0,38.0,377.0,38800.56882748692,941.4891738857209
77,2020-04-16,IN,India,SEARO,941.0,12380.0,37.0,414.0,41541.886208712676,1029.4177873961576
78,2020-04-17,IN,India,SEARO,1007.0,13387.0,23.0,437.0,44355.339412124624,1119.6601799940895
79,2020-04-18,IN,India,SEARO,991.0,14378.0,43.0,480.0,47241.86526658303,1212.2464007589656
