,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-02-19,IR,Iran (Islamic Republic of),EMRO,2.0,2.0,2.0,2.0,63155.7616290001,6448.785890894569
1,2020-02-20,IR,Iran (Islamic Republic of),EMRO,3.0,5.0,0.0,2.0,63155.83208305328,6448.142104094646
2,2020-02-21,IR,Iran (Islamic Republic of),EMRO,13.0,18.0,2.0,4.0,63156.32526142552,6447.8624895129215
3,2020-02-22,IR,Iran (Islamic Republic of),EMRO,10.0,28.0,1.0,5.0,63157.66388843588,6447.92077757997
4,2020-02-23,IR,Iran (Islamic Republic of),EMRO,15.0,43.0,3.0,8.0,63160.27068840345,6448.152472843425
5,2020-02-24,IR,Iran (Islamic Republic of),EMRO,18.0,61.0,4.0,12.0,63164.56838564718,6448.384579126039
6,2020-02-25,IR,Iran (Islamic Republic of),EMRO,34.0,95.0,3.0,15.0,63170.979704486366,6448.543788647153
7,2020-02-26,IR,Iran (Islamic Republic of),EMRO,44.0,139.0,4.0,19.0,63179.927369239784,6448.651940634484
8,2020-02-27,IR,Iran (Islamic Republic of),EMRO,106.0,245.0,7.0,26.0,63191.83410422686,6448.730889504642
9,2020-02-28,IR,Iran (Islamic Republic of),EMRO,143.0,388.0,8.0,34.0,63207.1226337655,6448.738867030341
10,2020-02-29,IR,Iran (Islamic Republic of),EMRO,205.0,593.0,9.0,43.0,63226.21568217673,6448.626224471607
11,2020-03-01,IR,Iran (Islamic Republic of),EMRO,0.0,593.0,0.0,43.0,63249.535973777995,6448.441992236655
12,2020-03-02,IR,Iran (Islamic Republic of),EMRO,908.0,1501.0,23.0,66.0,63277.5062328902,6448.341680921962
13,2020-03-03,IR,Iran (Islamic Republic of),EMRO,835.0,2336.0,11.0,77.0,63310.54918382906,6448.46744149771
14,2020-03-04,IR,Iran (Islamic Republic of),EMRO,586.0,2922.0,15.0,92.0,63349.08755091758,6448.827712481029
15,2020-03-05,IR,Iran (Islamic Republic of),EMRO,591.0,3513.0,15.0,107.0,63393.54405847113,6449.286540328148
16,2020-03-06,IR,Iran (Islamic Republic of),EMRO,1234.0,4747.0,17.0,124.0,63444.34143081415,6449.650975180865
17,2020-03-07,IR,Iran (Islamic Republic of),EMRO,1076.0,5823.0,21.0,145.0,63501.902392258286,6449.790489584267
18,2020-03-08,IR,Iran (Islamic Republic of),EMRO,743.0,6566.0,49.0,194.0,63566.6496671233,6449.723396919087
19,2020-03-09,IR,Iran (Islamic Republic of),EMRO,595.0,7161.0,43.0,237.0,63639.00597974469,6449.596773435143
