,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-29,IT,Italy,EURO,2.0,2.0,0.0,0.0,87041.07834956754,5823.212611259865
1,2020-01-30,IT,Italy,EURO,0.0,2.0,0.0,0.0,87041.12532494073,5823.221694135399
2,2020-01-31,IT,Italy,EURO,0.0,2.0,0.0,0.0,87041.45415255308,5823.285274264139
3,2020-02-01,IT,Italy,EURO,0.0,2.0,0.0,0.0,87042.34668464372,5823.457848899288
4,2020-02-02,IT,Italy,EURO,0.0,2.0,0.0,0.0,87044.08477345186,5823.793915294052
5,2020-02-03,IT,Italy,EURO,0.0,2.0,0.0,0.0,87046.9502712166,5824.347970701636
6,2020-02-04,IT,Italy,EURO,0.0,2.0,0.0,0.0,87051.22503017703,5825.174512375246
7,2020-02-05,IT,Italy,EURO,0.0,2.0,0.0,0.0,87057.19090257262,5826.328037568085
8,2020-02-06,IT,Italy,EURO,0.0,2.0,0.0,0.0,87065.12974064212,5827.863043533358
9,2020-02-07,IT,Italy,EURO,1.0,3.0,0.0,0.0,87075.32339662511,5829.834027524272
10,2020-02-08,IT,Italy,EURO,0.0,3.0,0.0,0.0,87088.05372276006,5832.2954867940325
11,2020-02-09,IT,Italy,EURO,0.0,3.0,0.0,0.0,87103.60257128667,5835.301918595837
12,2020-02-10,IT,Italy,EURO,0.0,3.0,0.0,0.0,87122.25179444341,5838.9078201829125
13,2020-02-11,IT,Italy,EURO,0.0,3.0,0.0,0.0,87144.28324447194,5843.167688808421
14,2020-02-12,IT,Italy,EURO,0.0,3.0,0.0,0.0,87169.97877360816,5848.136021725627
15,2020-02-13,IT,Italy,EURO,0.0,3.0,0.0,0.0,87199.62023409276,5853.867316187692
16,2020-02-14,IT,Italy,EURO,0.0,3.0,0.0,0.0,87233.48947816418,5860.416069447805
17,2020-02-15,IT,Italy,EURO,0.0,3.0,0.0,0.0,87271.8683580645,5867.836778759212
18,2020-02-16,IT,Italy,EURO,0.0,3.0,0.0,0.0,87315.03872602811,5876.183941375115
19,2020-02-17,IT,Italy,EURO,0.0,3.0,0.0,0.0,87363.28243429452,5885.512054548712
20,2020-02-18,IT,Italy,EURO,0.0,3.0,0.0,0.0,87416.88133510767,5895.875615533201
21,2020-02-19,IT,Italy,EURO,0.0,3.0,0.0,0.0,87476.11728069984,5907.329121581743
22,2020-02-20,IT,Italy,EURO,0.0,3.0,0.0,0.0,87541.27212332055,5919.927069947642
23,2020-02-21,IT,Italy,EURO,1.0,4.0,0.0,0.0,87612.62771519419,5933.723957884109
24,2020-02-22,IT,Italy,EURO,7.0,11.0,2.0,2.0,87690.46590857446,5948.774282644243
25,2020-02-23,IT,Italy,EURO,113.0,124.0,0.0,2.0,87775.06855570112,5965.132541481233
26,2020-02-24,IT,Italy,EURO,105.0,229.0,5.0,7.0,87866.71750880271,5982.853231648312
27,2020-02-25,IT,Italy,EURO,93.0,322.0,5.0,12.0,87965.69462012831,6001.990850398777
28,2020-02-26,IT,Italy,EURO,78.0,400.0,0.0,12.0,88072.28174189251,6022.599894985959
29,2020-02-27,IT,Italy,EURO,250.0,650.0,5.0,17.0,88186.76072636206,6044.734862662795
30,2020-02-28,IT,Italy,EURO,238.0,888.0,4.0,21.0,88309.41342576925,6068.450250682481
31,2020-02-29,IT,Italy,EURO,240.0,1128.0,8.0,29.0,88440.52169234824,6093.800556298165
32,2020-03-01,IT,Italy,EURO,561.0,1689.0,6.0,35.0,88580.36737834063,6120.840276763383
33,2020-03-02,IT,Italy,EURO,347.0,2036.0,17.0,52.0,88729.2323359992,6149.62390933106
34,2020-03-03,IT,Italy,EURO,466.0,2502.0,28.0,80.0,88887.39841754321,6180.205951254642
35,2020-03-04,IT,Italy,EURO,587.0,3089.0,27.0,107.0,89055.14747519005,6212.640899787353
36,2020-03-05,IT,Italy,EURO,769.0,3858.0,41.0,148.0,89232.76136125211,6246.983252181863
37,2020-03-06,IT,Italy,EURO,778.0,4636.0,49.0,197.0,89420.52192788903,6283.287505692077
38,2020-03-07,IT,Italy,EURO,1247.0,5883.0,37.0,234.0,89618.7110273834,6321.608157570636
39,2020-03-08,IT,Italy,EURO,1492.0,7375.0,132.0,366.0,89827.61051195074,6361.999705071112
40,2020-03-09,IT,Italy,EURO,1797.0,9172.0,97.0,463.0,90047.50223388855,6404.5166454465525
41,2020-03-10,IT,Italy,EURO,977.0,10149.0,168.0,631.0,90278.66804531921,6449.21347594986
42,2020-03-11,IT,Italy,EURO,2313.0,12462.0,196.0,827.0,90521.3897986259,6496.144693834884
43,2020-03-12,IT,Italy,EURO,2651.0,15113.0,189.0,1016.0,90775.9493459757,6545.364796355252
44,2020-03-13,IT,Italy,EURO,2547.0,17660.0,252.0,1268.0,91042.62853959162,6596.928280762078
45,2020-03-14,IT,Italy,EURO,3497.0,21157.0,173.0,1441.0,91321.70923174132,6650.889644310491
46,2020-03-15,IT,Italy,EURO,3590.0,24747.0,368.0,1809.0,91613.47327458073,6707.303384253815
47,2020-03-16,IT,Italy,EURO,3233.0,27980.0,349.0,2158.0,91918.20252051909,6766.223997843104
48,2020-03-17,IT,Italy,EURO,3526.0,31506.0,347.0,2505.0,92236.17882162292,6827.7059823348845
49,2020-03-18,IT,Italy,EURO,4207.0,35713.0,473.0,2978.0,92567.68403030146,6891.8038349792205
50,2020-03-19,IT,Italy,EURO,5322.0,41035.0,429.0,3407.0,92912.99999863614,6958.572053030804
51,2020-03-20,IT,Italy,EURO,5986.0,47021.0,625.0,4032.0,93272.40857887227,7028.065133742204
52,2020-03-21,IT,Italy,EURO,6557.0,53578.0,795.0,4827.0,93646.19162344892,7100.337574367442
53,2020-03-22,IT,Italy,EURO,0.0,53578.0,0.0,4827.0,94034.63098426122,7175.4438721598435
54,2020-03-23,IT,Italy,EURO,5560.0,59138.0,649.0,5476.0,94438.00851405371,7253.43852437116
55,2020-03-24,IT,Italy,EURO,4789.0,63927.0,601.0,6077.0,94856.60606443096,7334.376028256929
56,2020-03-25,IT,Italy,EURO,5249.0,69176.0,743.0,6820.0,95290.7054881673,7418.310881068612
57,2020-03-26,IT,Italy,EURO,5210.0,74386.0,685.0,7505.0,95740.58863729943,7505.297580059067
58,2020-03-27,IT,Italy,EURO,6153.0,80539.0,660.0,8165.0,96206.53736392368,7595.390622483306
59,2020-03-28,IT,Italy,EURO,5959.0,86498.0,971.0,9136.0,96688.8335205238,7688.644505590872
60,2020-03-29,IT,Italy,EURO,5974.0,92472.0,887.0,10023.0,97187.7589591812,7785.113726640791
61,2020-03-30,IT,Italy,EURO,5217.0,97689.0,758.0,10781.0,97703.59553211142,7884.852782879812
62,2020-03-31,IT,Italy,EURO,4050.0,101739.0,810.0,11591.0,98236.6250918131,7987.916171566265
63,2020-04-01,IT,Italy,EURO,4053.0,105792.0,839.0,12430.0,98787.12949024845,8094.358389953066
64,2020-04-02,IT,Italy,EURO,4782.0,110574.0,727.0,13157.0,99355.39057975222,8204.23393528801
65,2020-04-03,IT,Italy,EURO,4668.0,115242.0,760.0,13917.0,99941.69021253992,8317.597304830766
66,2020-04-04,IT,Italy,EURO,4585.0,119827.0,764.0,14681.0,100546.31024102081,8434.50299582942
