,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-30,IN,India,SEARO,1.0,1.0,0.0,0.0,-35455.89256008153,-611.8334719710557
1,2020-01-31,IN,India,SEARO,0.0,1.0,0.0,0.0,-35455.74851819256,-611.8285453832633
2,2020-02-01,IN,India,SEARO,0.0,1.0,0.0,0.0,-35454.740224969806,-611.7940592687161
3,2020-02-02,IN,India,SEARO,1.0,2.0,0.0,0.0,-35452.003429079465,-611.7004541006596
4,2020-02-03,IN,India,SEARO,1.0,3.0,0.0,0.0,-35446.67387918774,-611.5181703523389
5,2020-02-04,IN,India,SEARO,0.0,3.0,0.0,0.0,-35437.88732396087,-611.2176484969996
6,2020-02-05,IN,India,SEARO,0.0,3.0,0.0,0.0,-35424.77951206503,-610.7693290078867
7,2020-02-06,IN,India,SEARO,0.0,3.0,0.0,0.0,-35406.48619216637,-610.1436523582452
8,2020-02-07,IN,India,SEARO,0.0,3.0,0.0,0.0,-35382.14311293128,-609.3110590213208
9,2020-02-08,IN,India,SEARO,0.0,3.0,0.0,0.0,-35350.88602302587,-608.2419894703597
10,2020-02-09,IN,India,SEARO,0.0,3.0,0.0,0.0,-35311.85067111631,-606.9068841786067
11,2020-02-10,IN,India,SEARO,0.0,3.0,0.0,0.0,-35264.172805868555,-605.2761836193054
12,2020-02-11,IN,India,SEARO,0.0,3.0,0.0,0.0,-35206.98817594955,-603.3203282657036
13,2020-02-12,IN,India,SEARO,0.0,3.0,0.0,0.0,-35139.43253002486,-601.0097585910439
14,2020-02-13,IN,India,SEARO,0.0,3.0,0.0,0.0,-35060.641616760244,-598.3149150685716
15,2020-02-14,IN,India,SEARO,0.0,3.0,0.0,0.0,-34969.751184823996,-595.2062381715368
16,2020-02-15,IN,India,SEARO,0.0,3.0,0.0,0.0,-34865.89698287953,-591.654168373177
