,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-02-19,IR,Iran (Islamic Republic of),EMRO,2.0,2.0,2.0,2.0,58272.366811374886,2807.539402665104
1,2020-02-20,IR,Iran (Islamic Republic of),EMRO,3.0,5.0,0.0,2.0,58272.44159125372,2807.5429403586427
2,2020-02-21,IR,Iran (Islamic Republic of),EMRO,13.0,18.0,2.0,4.0,58272.9650504056,2807.5677042134143
3,2020-02-22,IR,Iran (Islamic Republic of),EMRO,10.0,28.0,1.0,5.0,58274.38586810353,2807.6349203905656
4,2020-02-23,IR,Iran (Islamic Republic of),EMRO,15.0,43.0,3.0,8.0,58277.15272362056,2807.765815051588
5,2020-02-24,IR,Iran (Islamic Republic of),EMRO,18.0,61.0,4.0,12.0,58281.71429622972,2807.981614357558
6,2020-02-25,IR,Iran (Islamic Republic of),EMRO,34.0,95.0,3.0,15.0,58288.51926520404,2808.3035444687985
7,2020-02-26,IR,Iran (Islamic Republic of),EMRO,44.0,139.0,4.0,19.0,58298.01630981656,2808.7528315476948
8,2020-02-27,IR,Iran (Islamic Republic of),EMRO,106.0,245.0,7.0,26.0,58310.65410934029,2809.350701756978
9,2020-02-28,IR,Iran (Islamic Republic of),EMRO,143.0,388.0,8.0,34.0,58326.881343048284,2810.1183812544905
10,2020-02-29,IR,Iran (Islamic Republic of),EMRO,205.0,593.0,9.0,43.0,58347.146690213565,2811.077096204738
11,2020-03-01,IR,Iran (Islamic Republic of),EMRO,0.0,593.0,0.0,43.0,58371.898830109174,2812.248072763322
12,2020-03-02,IR,Iran (Islamic Republic of),EMRO,908.0,1501.0,23.0,66.0,58401.586442008134,2813.652537094661
13,2020-03-03,IR,Iran (Islamic Republic of),EMRO,835.0,2336.0,11.0,77.0,58436.65820518347,2815.3117153642224
14,2020-03-04,IR,Iran (Islamic Republic of),EMRO,586.0,2922.0,15.0,92.0,58477.56279890823,2817.2468337258315
15,2020-03-05,IR,Iran (Islamic Republic of),EMRO,591.0,3513.0,15.0,107.0,58524.74890245543,2819.4791183616026
16,2020-03-06,IR,Iran (Islamic Republic of),EMRO,1234.0,4747.0,17.0,124.0,58578.66519509813,2822.029795400099
17,2020-03-07,IR,Iran (Islamic Republic of),EMRO,1076.0,5823.0,21.0,145.0,58639.76035610933,2824.920091003877
18,2020-03-08,IR,Iran (Islamic Republic of),EMRO,743.0,6566.0,49.0,194.0,58708.48306476207,2828.1712313801972
19,2020-03-09,IR,Iran (Islamic Republic of),EMRO,595.0,7161.0,43.0,237.0,58785.282000329404,2831.8044426478436
20,2020-03-10,IR,Iran (Islamic Republic of),EMRO,881.0,8042.0,54.0,291.0,58870.60584208434,2835.8409509821786
21,2020-03-11,IR,Iran (Islamic Republic of),EMRO,958.0,9000.0,63.0,354.0,58964.90326929992,2840.30198250804
22,2020-03-12,IR,Iran (Islamic Republic of),EMRO,1075.0,10075.0,75.0,429.0,59068.6229612492,2845.208763450849
23,2020-03-13,IR,Iran (Islamic Republic of),EMRO,1289.0,11364.0,85.0,514.0,59182.21359720512,2850.582519895396
24,2020-03-14,IR,Iran (Islamic Republic of),EMRO,1365.0,12729.0,94.0,608.0,59306.12385644087,2856.444478101562
25,2020-03-15,IR,Iran (Islamic Republic of),EMRO,1254.0,13983.0,116.0,724.0,59440.8024182293,2862.8158642216576
26,2020-03-16,IR,Iran (Islamic Republic of),EMRO,1008.0,14991.0,129.0,853.0,59586.697961843536,2869.717904258053
27,2020-03-17,IR,Iran (Islamic Republic of),EMRO,1178.0,16169.0,135.0,988.0,59744.25916655662,2877.1718246475784
28,2020-03-18,IR,Iran (Islamic Republic of),EMRO,1192.0,17361.0,147.0,1135.0,59913.93471164164,2885.1988511509253
29,2020-03-19,IR,Iran (Islamic Republic of),EMRO,1046.0,18407.0,149.0,1284.0,60096.17327637151,2893.820210330653
30,2020-03-20,IR,Iran (Islamic Republic of),EMRO,1237.0,19644.0,149.0,1433.0,60291.423540019256,2903.057128237094
31,2020-03-21,IR,Iran (Islamic Republic of),EMRO,966.0,20610.0,123.0,1556.0,60500.13418185796,2912.9308308451427
32,2020-03-22,IR,Iran (Islamic Republic of),EMRO,1028.0,21638.0,129.0,1685.0,60722.75388116083,2923.4625445450647
33,2020-03-23,IR,Iran (Islamic Republic of),EMRO,1411.0,23049.0,127.0,1812.0,60959.73131720059,2934.6734953685655
34,2020-03-24,IR,Iran (Islamic Republic of),EMRO,1762.0,24811.0,122.0,1934.0,61211.5151692504,2946.5849093752904
35,2020-03-25,IR,Iran (Islamic Republic of),EMRO,2206.0,27017.0,143.0,2077.0,61478.55411658342,2959.2180131687774
36,2020-03-26,IR,Iran (Islamic Republic of),EMRO,2389.0,29406.0,157.0,2234.0,61761.29683847234,2972.5940323858513
37,2020-03-27,IR,Iran (Islamic Republic of),EMRO,2926.0,32332.0,144.0,2378.0,62060.19201419067,2986.7341935015274
38,2020-03-28,IR,Iran (Islamic Republic of),EMRO,3076.0,35408.0,139.0,2517.0,62375.688323011025,3001.6597225270225
39,2020-03-29,IR,Iran (Islamic Republic of),EMRO,2901.0,38309.0,123.0,2640.0,62708.23444420645,3017.391845704521
40,2020-03-30,IR,Iran (Islamic Republic of),EMRO,3186.0,41495.0,117.0,2757.0,63058.27905705051,3033.951789201702
41,2020-03-31,IR,Iran (Islamic Republic of),EMRO,3111.0,44606.0,141.0,2898.0,63426.27084081566,3051.360779102425
42,2020-04-01,IR,Iran (Islamic Republic of),EMRO,2987.0,47593.0,138.0,3036.0,63812.658474775126,3069.640041408594
43,2020-04-02,IR,Iran (Islamic Republic of),EMRO,2875.0,50468.0,124.0,3160.0,64217.89063820189,3088.810802632476
44,2020-04-03,IR,Iran (Islamic Republic of),EMRO,2715.0,53183.0,134.0,3294.0,64642.41601036939,3108.8942889510645
