,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-02-28,MX,Mexico,AMRO,2.0,2.0,0.0,0.0,-6496.128922250178,-592.0754041423918
1,2020-02-29,MX,Mexico,AMRO,0.0,2.0,0.0,0.0,-6496.010520889373,-592.0616420769876
2,2020-03-01,MX,Mexico,AMRO,0.0,2.0,0.0,0.0,-6495.1817113637335,-591.9653076191587
3,2020-03-02,MX,Mexico,AMRO,3.0,5.0,0.0,0.0,-6492.932085508429,-591.7038283764799
4,2020-03-03,MX,Mexico,AMRO,0.0,5.0,0.0,0.0,-6488.551235158624,-591.1946319565267
5,2020-03-04,MX,Mexico,AMRO,0.0,5.0,0.0,0.0,-6481.328752149487,-590.355145966874
6,2020-03-05,MX,Mexico,AMRO,0.0,5.0,0.0,0.0,-6470.554228316183,-589.1027980150972
7,2020-03-06,MX,Mexico,AMRO,0.0,5.0,0.0,0.0,-6455.51725549388,-587.3550157087712
8,2020-03-07,MX,Mexico,AMRO,0.0,5.0,0.0,0.0,-6435.507425517744,-585.0292266554712
9,2020-03-08,MX,Mexico,AMRO,2.0,7.0,0.0,0.0,-6409.814330222943,-582.0428584627723
10,2020-03-09,MX,Mexico,AMRO,0.0,7.0,0.0,0.0,-6377.727561444646,-578.3133387382501
11,2020-03-10,MX,Mexico,AMRO,0.0,7.0,0.0,0.0,-6338.536711018012,-573.758095089479
12,2020-03-11,MX,Mexico,AMRO,0.0,7.0,0.0,0.0,-6291.531370778219,-568.2945551240351
13,2020-03-12,MX,Mexico,AMRO,4.0,11.0,0.0,0.0,-6236.001132560418,-561.8401464494918
14,2020-03-13,MX,Mexico,AMRO,1.0,12.0,0.0,0.0,-6171.235588199789,-554.3122966734275
15,2020-03-14,MX,Mexico,AMRO,14.0,26.0,0.0,0.0,-6096.524329531485,-545.6284334034128
16,2020-03-15,MX,Mexico,AMRO,15.0,41.0,0.0,0.0,-6011.156948390706,-535.7059842470269
17,2020-03-16,MX,Mexico,AMRO,12.0,53.0,0.0,0.0,-5914.423036612587,-524.4623768118439
