,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-03-07,PE,Peru,AMRO,6.0,6.0,0.0,0.0,6.0099971706351925,-4.475072659477588
1,2020-03-08,PE,Peru,AMRO,0.0,6.0,0.0,0.0,6.198751697932626,-4.468947414626109
2,2020-03-09,PE,Peru,AMRO,1.0,7.0,0.0,0.0,7.520033389014661,-4.4260707006657505
3,2020-03-10,PE,Peru,AMRO,2.0,9.0,0.0,0.0,11.106369407665913,-4.309691048487094
4,2020-03-11,PE,Peru,AMRO,2.0,11.0,0.0,0.0,18.09028691767094,-4.083056988982888
5,2020-03-12,PE,Peru,AMRO,6.0,17.0,0.0,0.0,29.60431308281682,-3.7094170530390738
6,2020-03-13,PE,Peru,AMRO,5.0,22.0,0.0,0.0,46.78097506688096,-3.152019771553638
7,2020-03-14,PE,Peru,AMRO,6.0,28.0,0.0,0.0,70.75280003365265,-2.3741136754111505
8,2020-03-15,PE,Peru,AMRO,15.0,43.0,0.0,0.0,102.65231514692118,-1.3389472955199846
9,2020-03-16,PE,Peru,AMRO,28.0,71.0,0.0,0.0,143.61204757046858,-0.009769162724138525
10,2020-03-17,PE,Peru,AMRO,15.0,86.0,0.0,0.0,194.7645244680882,1.6501721920305261
11,2020-03-18,PE,Peru,AMRO,59.0,145.0,0.0,0.0,257.242273003498,3.677628237909106
12,2020-03-19,PE,Peru,AMRO,89.0,234.0,0.0,0.0,332.17782034060133,6.109350443914012
13,2020-03-20,PE,Peru,AMRO,0.0,234.0,2.0,2.0,420.7036936430361,8.982090279255248
14,2020-03-21,PE,Peru,AMRO,84.0,318.0,0.0,2.0,523.9524200747749,12.332599213053912
15,2020-03-22,PE,Peru,AMRO,0.0,318.0,0.0,2.0,643.0565267994082,16.197628714380627
16,2020-03-23,PE,Peru,AMRO,0.0,318.0,0.0,2.0,779.1485409809231,20.613930252183238
17,2020-03-24,PE,Peru,AMRO,98.0,416.0,3.0,5.0,933.3609897829576,25.618255296038953
18,2020-03-25,PE,Peru,AMRO,0.0,416.0,0.0,5.0,1106.8264003693023,31.247355314550006
19,2020-03-26,PE,Peru,AMRO,164.0,580.0,4.0,9.0,1300.677299903937,37.53798177714809
20,2020-03-27,PE,Peru,AMRO,0.0,580.0,0.0,9.0,1516.0462155502594,44.52688615258732
21,2020-03-28,PE,Peru,AMRO,0.0,580.0,0.0,9.0,1754.0656744723221,52.250819910397624
22,2020-03-29,PE,Peru,AMRO,55.0,635.0,2.0,11.0,2015.8682038335376,60.74653451961596
23,2020-03-30,PE,Peru,AMRO,36.0,671.0,0.0,11.0,2302.5863307983805,70.05078144872634
24,2020-03-31,PE,Peru,AMRO,181.0,852.0,0.0,11.0,2615.3525825303645,80.20031216765521
