,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-31,RU,Russian Federation,EURO,2.0,2.0,0.0,0.0,-3651.682695198684,-217.94711059257415
1,2020-02-01,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3651.4970739596224,-217.9444337635908
2,2020-02-02,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3650.197725286189,-217.92569596070743
3,2020-02-03,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3646.6709217440134,-217.8748362100305
4,2020-02-04,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3639.8029358987237,-217.7757935376404
5,2020-02-05,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3628.480040315949,-217.61250696962233
6,2020-02-06,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3611.588507561318,-217.36891553222503
7,2020-02-07,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3588.014610200459,-217.0289582512397
8,2020-02-08,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3556.644620799001,-216.57657415310413
9,2020-02-09,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3516.364811922573,-215.99570226422847
10,2020-02-10,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3466.061456136804,-215.2702816089596
11,2020-02-11,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3404.6208260073217,-214.38425121757163
12,2020-02-12,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3330.929194099755,-213.3215501097812
13,2020-02-13,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3243.8728329797336,-212.06611731619077
14,2020-02-14,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3142.338015212885,-210.60189186189845
15,2020-02-15,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3025.2110133648384,-208.9128127736595
16,2020-02-16,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2891.378100001222,-206.98281907681402
17,2020-02-17,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2739.725547687666,-204.79584979534874
18,2020-02-18,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2569.1396289897984,-202.33584396580872
19,2020-02-19,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2378.506616473247,-199.5867406029839
20,2020-02-20,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2166.712782703642,-196.53247872365782
21,2020-02-21,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-1932.6444002466117,-193.1569973869019
22,2020-02-22,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-1675.187741667784,-189.444235592554
23,2020-02-23,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-1393.229079532788,-185.37813235413077
24,2020-02-24,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-1085.654686407253,-180.94262673023067
25,2020-02-25,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-751.3508348568084,-176.12165773212936
26,2020-02-26,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-389.20379744707907,-170.89916438150712
27,2020-02-27,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,1.9001532563052024,-165.25908571389763
28,2020-02-28,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,423.07474468770897,-159.18536074716857
29,2020-02-29,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,875.4337042815177,-152.66192851472906
30,2020-03-01,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,1360.0907594720802,-145.67272804125705
31,2020-03-02,RU,Russian Federation,EURO,1.0,3.0,0.0,0.0,1878.1596376937978,-138.20169835335136
32,2020-03-03,RU,Russian Federation,EURO,0.0,3.0,0.0,0.0,2430.754066381014,-130.23277846649316
33,2020-03-04,RU,Russian Federation,EURO,0.0,3.0,0.0,0.0,3018.9877729681157,-121.74990743283442
34,2020-03-05,RU,Russian Federation,EURO,1.0,4.0,0.0,0.0,3643.974484889458,-112.73702421477091
35,2020-03-06,RU,Russian Federation,EURO,3.0,7.0,0.0,0.0,4306.827929579435,-103.17806796171962
36,2020-03-07,RU,Russian Federation,EURO,0.0,7.0,0.0,0.0,5008.661834472403,-93.05697757845073
37,2020-03-08,RU,Russian Federation,EURO,0.0,7.0,0.0,0.0,5750.589927002722,-82.35769216059734
38,2020-03-09,RU,Russian Federation,EURO,0.0,7.0,0.0,0.0,6533.725934604812,-71.06415067585212
39,2020-03-10,RU,Russian Federation,EURO,0.0,7.0,0.0,0.0,7359.1835847130005,-59.160292188125
40,2020-03-11,RU,Russian Federation,EURO,0.0,7.0,0.0,0.0,8228.076604761653,-46.6300556412435
41,2020-03-12,RU,Russian Federation,EURO,27.0,34.0,0.0,0.0,9141.518722185168,-33.45738019533482
42,2020-03-13,RU,Russian Federation,EURO,0.0,34.0,0.0,0.0,10100.623664417895,-19.626204947196214
43,2020-03-14,RU,Russian Federation,EURO,0.0,34.0,0.0,0.0,11106.505158894233,-5.120468710270046
44,2020-03-15,RU,Russian Federation,EURO,0.0,34.0,0.0,0.0,12160.276933048517,10.07588940758697
45,2020-03-16,RU,Russian Federation,EURO,59.0,93.0,0.0,0.0,13263.052714315148,25.9789305080657
46,2020-03-17,RU,Russian Federation,EURO,0.0,93.0,0.0,0.0,14415.946230128484,42.60471531497288
47,2020-03-18,RU,Russian Federation,EURO,54.0,147.0,0.0,0.0,15620.071207922894,59.9693049302322
48,2020-03-19,RU,Russian Federation,EURO,52.0,199.0,0.0,0.0,16876.541375132765,78.08876030617367
49,2020-03-20,RU,Russian Federation,EURO,54.0,253.0,0.0,0.0,18186.47045919248,96.97914246683914
50,2020-03-21,RU,Russian Federation,EURO,53.0,306.0,0.0,0.0,19550.97218753632,116.65651229098413
51,2020-03-22,RU,Russian Federation,EURO,0.0,306.0,0.0,0.0,20971.160287598792,137.13693078728366
52,2020-03-23,RU,Russian Federation,EURO,132.0,438.0,0.0,0.0,22448.148486814156,158.43645909596208
53,2020-03-24,RU,Russian Federation,EURO,0.0,438.0,0.0,0.0,23983.050512616835,180.57115816236447
54,2020-03-25,RU,Russian Federation,EURO,220.0,658.0,0.0,0.0,25576.98009244123,203.55708843683797
55,2020-03-26,RU,Russian Federation,EURO,182.0,840.0,2.0,2.0,27231.05095372163,227.41031151548933
56,2020-03-27,RU,Russian Federation,EURO,196.0,1036.0,1.0,3.0,28946.37682389246,252.14688817067045
57,2020-03-28,RU,Russian Federation,EURO,228.0,1264.0,1.0,4.0,30724.071430388143,277.78287925925076
58,2020-03-29,RU,Russian Federation,EURO,270.0,1534.0,4.0,8.0,32565.24850064293,304.33434603018657
59,2020-03-30,RU,Russian Federation,EURO,0.0,1534.0,1.0,9.0,34471.02176209126,331.817349260952
60,2020-03-31,RU,Russian Federation,EURO,303.0,1837.0,0.0,9.0,36442.504942167434,360.24794981796265
61,2020-04-01,RU,Russian Federation,EURO,500.0,2337.0,8.0,17.0,38480.81176830585,389.64220873108104
62,2020-04-02,RU,Russian Federation,EURO,440.0,2777.0,7.0,24.0,40587.05596794117,420.0161873212081
63,2020-04-03,RU,Russian Federation,EURO,771.0,3548.0,6.0,30.0,42762.35126850728,451.3859462442805
64,2020-04-04,RU,Russian Federation,EURO,601.0,4149.0,4.0,34.0,45007.8113974389,483.76754641607374
65,2020-04-05,RU,Russian Federation,EURO,582.0,4731.0,9.0,43.0,47324.550082170186,517.1770488371138
66,2020-04-06,RU,Russian Federation,EURO,658.0,5389.0,2.0,45.0,49713.68105013571,551.6305146853437
67,2020-04-07,RU,Russian Federation,EURO,954.0,6343.0,2.0,47.0,52176.31802876963,587.1440050777045
68,2020-04-08,RU,Russian Federation,EURO,1154.0,7497.0,11.0,58.0,54713.574745506456,623.7335804298517
69,2020-04-09,RU,Russian Federation,EURO,2634.0,10131.0,18.0,76.0,57326.564927780506,661.41530185407
70,2020-04-10,RU,Russian Federation,EURO,1786.0,11917.0,18.0,94.0,60016.40230302626,700.205230454262
71,2020-04-11,RU,Russian Federation,EURO,1667.0,13584.0,12.0,106.0,62784.20059867794,740.1194273417813
72,2020-04-12,RU,Russian Federation,EURO,2186.0,15770.0,24.0,130.0,65631.07354217001,781.1739535204132
73,2020-04-13,RU,Russian Federation,EURO,2558.0,18328.0,18.0,148.0,68558.13486093686,823.3848699375984
74,2020-04-14,RU,Russian Federation,EURO,2774.0,21102.0,22.0,170.0,71566.49828241256,866.7682368632403
75,2020-04-15,RU,Russian Federation,EURO,3388.0,24490.0,28.0,198.0,74657.27753403201,911.3401166804132
76,2020-04-16,RU,Russian Federation,EURO,3448.0,27938.0,34.0,232.0,77831.58634322928,957.1165687412021
77,2020-04-17,RU,Russian Federation,EURO,4070.0,32008.0,41.0,273.0,81090.5384374386,1004.1136558584866
78,2020-04-18,RU,Russian Federation,EURO,4785.0,36793.0,40.0,313.0,84435.24754409479,1052.3474366430191
79,2020-04-19,RU,Russian Federation,EURO,6060.0,42853.0,48.0,361.0,87866.82739063182,1101.8339738368986
80,2020-04-20,RU,Russian Federation,EURO,0.0,42853.0,0.0,361.0,91386.391704484,1152.589329018071
81,2020-04-21,RU,Russian Federation,EURO,9910.0,52763.0,95.0,456.0,94995.05421308591,1204.629561103694
82,2020-04-22,RU,Russian Federation,EURO,5236.0,57999.0,57.0,513.0,98693.92864387213,1257.9707325853406
83,2020-04-23,RU,Russian Federation,EURO,4774.0,62773.0,42.0,555.0,102484.12872427658,1312.628902633488
84,2020-04-24,RU,Russian Federation,EURO,5849.0,68622.0,60.0,615.0,106366.76818173395,1368.6201345704494
85,2020-04-25,RU,Russian Federation,EURO,0.0,68622.0,0.0,615.0,110342.96074367844,1425.9604884570463
86,2020-04-26,RU,Russian Federation,EURO,5966.0,74588.0,66.0,681.0,114413.82013754465,1484.6660244658588
87,2020-04-27,RU,Russian Federation,EURO,12559.0,87147.0,113.0,794.0,118580.46009076665,1544.7528050381688
88,2020-04-28,RU,Russian Federation,EURO,6411.0,93558.0,73.0,867.0,122843.99433077892,1606.236889408715
89,2020-04-29,RU,Russian Federation,EURO,5841.0,99399.0,105.0,972.0,127205.53658501609,1669.1343412565066
90,2020-04-30,RU,Russian Federation,EURO,7099.0,106498.0,101.0,1073.0,131666.20058091197,1733.4612182125447
91,2020-05-01,RU,Russian Federation,EURO,7933.0,114431.0,96.0,1169.0,136227.10004590137,1799.233583153039
92,2020-05-02,RU,Russian Federation,EURO,9623.0,124054.0,53.0,1222.0,140889.34870741866,1866.4674966678022
93,2020-05-03,RU,Russian Federation,EURO,10633.0,134687.0,58.0,1280.0,145654.06029289815,1935.1790193606166
94,2020-05-04,RU,Russian Federation,EURO,10581.0,145268.0,76.0,1356.0,150522.34852977394,2005.3842135898767
95,2020-05-05,RU,Russian Federation,EURO,10102.0,155370.0,95.0,1451.0,155495.32714548067,2077.09913922362
