,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-03-05,ZA,South Africa,AFRO,1.0,1.0,0.0,0.0,-8376.272875740879,-117.30523919739662
1,2020-03-06,ZA,South Africa,AFRO,0.0,1.0,0.0,0.0,-8376.170778250787,-117.3035507392753
2,2020-03-07,ZA,South Africa,AFRO,1.0,2.0,0.0,0.0,-8375.456095820151,-117.29173153242608
3,2020-03-08,ZA,South Africa,AFRO,1.0,3.0,0.0,0.0,-8373.51624350842,-117.25965082812098
4,2020-03-09,ZA,South Africa,AFRO,0.0,3.0,0.0,0.0,-8369.738636375056,-117.19717787763233
5,2020-03-10,ZA,South Africa,AFRO,4.0,7.0,0.0,0.0,-8363.510689479504,-117.09418193223111
6,2020-03-11,ZA,South Africa,AFRO,0.0,7.0,0.0,0.0,-8354.219817881214,-116.94053224319157
7,2020-03-12,ZA,South Africa,AFRO,10.0,17.0,0.0,0.0,-8341.253436639636,-116.72609806178247
8,2020-03-13,ZA,South Africa,AFRO,0.0,17.0,0.0,0.0,-8323.998960814297,-116.4407486392823
9,2020-03-14,ZA,South Africa,AFRO,21.0,38.0,0.0,0.0,-8301.843805464468,-116.07435322695224
10,2020-03-15,ZA,South Africa,AFRO,0.0,38.0,0.0,0.0,-8274.175385649885,-115.61678107607256
11,2020-03-16,ZA,South Africa,AFRO,13.0,51.0,0.0,0.0,-8240.38111642987,-115.05790143791657
12,2020-03-17,ZA,South Africa,AFRO,11.0,62.0,0.0,0.0,-8199.848412863563,-114.38758356375624
13,2020-03-18,ZA,South Africa,AFRO,54.0,116.0,0.0,0.0,-8151.964690010425,-113.5956967048455
14,2020-03-19,ZA,South Africa,AFRO,34.0,150.0,0.0,0.0,-8096.117362930939,-112.67211011248341
15,2020-03-20,ZA,South Africa,AFRO,55.0,205.0,0.0,0.0,-8031.693846683704,-111.60669303794165
16,2020-03-21,ZA,South Africa,AFRO,35.0,240.0,0.0,0.0,-7958.081556328225,-110.38931473248212
17,2020-03-22,ZA,South Africa,AFRO,0.0,240.0,0.0,0.0,-7874.66790692366,-109.0098444473509
18,2020-03-23,ZA,South Africa,AFRO,34.0,274.0,0.0,0.0,-7780.840313529599,-107.4581514338416
19,2020-03-24,ZA,South Africa,AFRO,128.0,402.0,0.0,0.0,-7675.986191207848,-105.72410494326422
20,2020-03-25,ZA,South Africa,AFRO,152.0,554.0,0.0,0.0,-7559.492955012933,-103.79757422680413
21,2020-03-26,ZA,South Africa,AFRO,373.0,927.0,0.0,0.0,-7430.748020009626,-101.66842853579337
22,2020-03-27,ZA,South Africa,AFRO,0.0,927.0,0.0,0.0,-7289.138801252807,-99.32653712155624
23,2020-03-28,ZA,South Africa,AFRO,243.0,1170.0,1.0,1.0,-7134.052713802474,-96.76176923526745
24,2020-03-29,ZA,South Africa,AFRO,17.0,1187.0,0.0,1.0,-6964.877172722352,-93.96399412827358
25,2020-03-30,ZA,South Africa,AFRO,93.0,1280.0,0.0,1.0,-6780.999593069531,-90.9230810517607
26,2020-03-31,ZA,South Africa,AFRO,46.0,1326.0,2.0,3.0,-6581.807389897256,-87.62889925698764
27,2020-04-01,ZA,South Africa,AFRO,27.0,1353.0,2.0,5.0,-6366.687978282876,-84.07131799544058
28,2020-04-02,ZA,South Africa,AFRO,27.0,1380.0,0.0,5.0,-6135.028773261358,-80.24020651809096
29,2020-04-03,ZA,South Africa,AFRO,82.0,1462.0,0.0,5.0,-5886.21718990609,-76.1254340764377
30,2020-04-04,ZA,South Africa,AFRO,43.0,1505.0,2.0,7.0,-5619.640643283479,-71.71686992175691
31,2020-04-05,ZA,South Africa,AFRO,80.0,1585.0,2.0,9.0,-5334.686548444087,-67.00438330513188
32,2020-04-06,ZA,South Africa,AFRO,70.0,1655.0,2.0,11.0,-5030.742320439653,-61.97784347808064
33,2020-04-07,ZA,South Africa,AFRO,31.0,1686.0,1.0,12.0,-4707.195374354741,-56.62711969140818
34,2020-04-08,ZA,South Africa,AFRO,63.0,1749.0,1.0,13.0,-4363.433125203131,-50.94208119703089
35,2020-04-09,ZA,South Africa,AFRO,96.0,1845.0,5.0,18.0,-3998.842988093138,-44.91259724573919
36,2020-04-10,ZA,South Africa,AFRO,89.0,1934.0,0.0,18.0,-3612.8123780506467,-38.52853708895654
37,2020-04-11,ZA,South Africa,AFRO,69.0,2003.0,6.0,24.0,-3204.728710174657,-31.779769977873542
38,2020-04-12,ZA,South Africa,AFRO,25.0,2028.0,1.0,25.0,-2773.9793994766314,-24.656165164337466
39,2020-04-13,ZA,South Africa,AFRO,145.0,2173.0,0.0,25.0,-2319.9518610229607,-17.14759189887863
40,2020-04-14,ZA,South Africa,AFRO,99.0,2272.0,2.0,27.0,-1842.0335099173108,-9.243919432656725
41,2020-04-15,ZA,South Africa,AFRO,143.0,2415.0,0.0,27.0,-1339.6117611836962,-0.9350170174935499
42,2020-04-16,ZA,South Africa,AFRO,91.0,2506.0,7.0,34.0,-812.0740298908577,7.789246095429377
43,2020-04-17,ZA,South Africa,AFRO,99.0,2605.0,14.0,48.0,-258.8077310917006,16.939000654519447
44,2020-04-18,ZA,South Africa,AFRO,178.0,2783.0,2.0,50.0,320.7997201636954,26.524377409326377
45,2020-04-19,ZA,South Africa,AFRO,251.0,3034.0,2.0,52.0,927.3609087953955,36.55550710798835
46,2020-04-20,ZA,South Africa,AFRO,124.0,3158.0,2.0,54.0,1561.4884197663578,47.04252049963671
47,2020-04-21,ZA,South Africa,AFRO,142.0,3300.0,4.0,58.0,2223.7948379798963,57.99554833192943
48,2020-04-22,ZA,South Africa,AFRO,165.0,3465.0,0.0,58.0,2914.89274840733,69.42472135558765
49,2020-04-23,ZA,South Africa,AFRO,170.0,3635.0,7.0,65.0,3635.394735965967,81.340170318102
50,2020-04-24,ZA,South Africa,AFRO,318.0,3953.0,10.0,75.0,4385.9133856298995,93.75202596769068
51,2020-04-25,ZA,South Africa,AFRO,267.0,4220.0,4.0,79.0,5167.061282350913,106.67041905307397
52,2020-04-26,ZA,South Africa,AFRO,141.0,4361.0,7.0,86.0,5979.451011008103,120.10548032587522
53,2020-04-27,ZA,South Africa,AFRO,185.0,4546.0,1.0,87.0,6823.695156568125,134.06734053053643
54,2020-04-28,ZA,South Africa,AFRO,247.0,4793.0,3.0,90.0,7700.406303923135,148.56613041825167
55,2020-04-29,ZA,South Africa,AFRO,203.0,4996.0,3.0,93.0,8610.197038136668,163.6119807380832
56,2020-04-30,ZA,South Africa,AFRO,354.0,5350.0,10.0,103.0,9553.679944095284,179.21502223704866
57,2020-05-01,ZA,South Africa,AFRO,297.0,5647.0,0.0,103.0,10531.467606644559,195.38538566431944
58,2020-05-02,ZA,South Africa,AFRO,304.0,5951.0,13.0,116.0,11544.172610937423,212.13320177027472
59,2020-05-03,ZA,South Africa,AFRO,385.0,6336.0,7.0,123.0,12592.407541599654,229.46860130121914
60,2020-05-04,ZA,South Africa,AFRO,447.0,6783.0,8.0,131.0,13676.78498391832,247.40171500772104
61,2020-05-05,ZA,South Africa,AFRO,437.0,7220.0,7.0,138.0,14797.917522636553,265.9426736384861
62,2020-05-06,ZA,South Africa,AFRO,219.0,7439.0,10.0,148.0,15956.417742633455,285.10160794072124
63,2020-05-07,ZA,South Africa,AFRO,369.0,7808.0,5.0,153.0,17152.898229121573,304.8886486648929
64,2020-05-08,ZA,South Africa,AFRO,424.0,8232.0,8.0,161.0,18387.97156666893,325.31392655713114
65,2020-05-09,ZA,South Africa,AFRO,663.0,8895.0,17.0,178.0,19662.250340432183,346.387572370449
66,2020-05-10,ZA,South Africa,AFRO,525.0,9420.0,8.0,186.0,20976.347135348224,368.1197168505108
67,2020-05-11,ZA,South Africa,AFRO,595.0,10015.0,8.0,194.0,22330.87453641348,390.52049074574586
68,2020-05-12,ZA,South Africa,AFRO,637.0,10652.0,12.0,206.0,23726.445128561107,413.6000248055292
69,2020-05-13,ZA,South Africa,AFRO,698.0,11350.0,0.0,206.0,25163.67149647836,437.3684497773587
70,2020-05-14,ZA,South Africa,AFRO,724.0,12074.0,13.0,219.0,26643.166225441048,461.83589641586275
71,2020-05-15,ZA,South Africa,AFRO,665.0,12739.0,19.0,238.0,28165.541900307893,487.0124954640572
72,2020-05-16,ZA,South Africa,AFRO,785.0,13524.0,9.0,247.0,29731.41110578098,512.908377670124
73,2020-05-17,ZA,South Africa,AFRO,831.0,14355.0,14.0,261.0,31341.386427076606,539.5336737846313
74,2020-05-18,ZA,South Africa,AFRO,1160.0,15515.0,3.0,264.0,32996.080448788896,566.898514558788
75,2020-05-19,ZA,South Africa,AFRO,918.0,16433.0,22.0,286.0,34696.10575638736,595.0130307352459
76,2020-05-20,ZA,South Africa,AFRO,767.0,17200.0,26.0,312.0,36442.0749343731,623.8873530670766
77,2020-05-21,ZA,South Africa,AFRO,803.0,18003.0,27.0,339.0,38234.60056796232,653.5316123019087
78,2020-05-22,ZA,South Africa,AFRO,1134.0,19137.0,30.0,369.0,40074.29524200247,683.9559391907472
79,2020-05-23,ZA,South Africa,AFRO,988.0,20125.0,28.0,397.0,41961.77154106532,715.1704644810756
80,2020-05-24,ZA,South Africa,AFRO,1218.0,21343.0,10.0,407.0,43897.642050847666,747.1853189205225
81,2020-05-25,ZA,South Africa,AFRO,1240.0,22583.0,22.0,429.0,45882.51935560842,780.010633255611
82,2020-05-26,ZA,South Africa,AFRO,1032.0,23615.0,52.0,481.0,47917.01604071658,813.6565382418279
