,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-02-02,ES,Spain,EURO,1.0,1.0,0.0,0.0,51002.438840595256,10370.87546476672
1,2020-02-03,ES,Spain,EURO,0.0,1.0,0.0,0.0,51002.517316388316,10370.881747795702
2,2020-02-04,ES,Spain,EURO,0.0,1.0,0.0,0.0,51003.06664693975,10370.92572899858
3,2020-02-05,ES,Spain,EURO,0.0,1.0,0.0,0.0,51004.5576870079,10371.045106549249
4,2020-02-06,ES,Spain,EURO,0.0,1.0,0.0,0.0,51007.46129135117,10371.277578621604
5,2020-02-07,ES,Spain,EURO,0.0,1.0,0.0,0.0,51012.24831472789,10371.660843389542
6,2020-02-08,ES,Spain,EURO,0.0,1.0,0.0,0.0,51019.38961189645,10372.232599026956
7,2020-02-09,ES,Spain,EURO,0.0,1.0,0.0,0.0,51029.3560376152,10373.030543707744
8,2020-02-10,ES,Spain,EURO,1.0,2.0,0.0,0.0,51042.618446642526,10374.0923756058
9,2020-02-11,ES,Spain,EURO,0.0,2.0,0.0,0.0,51059.64769373678,10375.455792895018
10,2020-02-12,ES,Spain,EURO,0.0,2.0,0.0,0.0,51080.914633656335,10377.158493749297
11,2020-02-13,ES,Spain,EURO,0.0,2.0,1.0,1.0,51106.890121159544,10379.238176342531
12,2020-02-14,ES,Spain,EURO,0.0,2.0,0.0,1.0,51138.04501100479,10381.732538848615
13,2020-02-15,ES,Spain,EURO,0.0,2.0,0.0,1.0,51174.85015795044,10384.679279441443
14,2020-02-16,ES,Spain,EURO,0.0,2.0,0.0,1.0,51217.77641675484,10388.116096294914
15,2020-02-17,ES,Spain,EURO,0.0,2.0,0.0,1.0,51267.294642176385,10392.08068758292
16,2020-02-18,ES,Spain,EURO,0.0,2.0,0.0,1.0,51323.8756889734,10396.61075147936
17,2020-02-19,ES,Spain,EURO,0.0,2.0,0.0,1.0,51387.99041190429,10401.743986158126
18,2020-02-20,ES,Spain,EURO,0.0,2.0,0.0,1.0,51460.10966572743,10407.518089793115
19,2020-02-21,ES,Spain,EURO,0.0,2.0,0.0,1.0,51540.704305201136,10413.970760558224
20,2020-02-22,ES,Spain,EURO,0.0,2.0,0.0,1.0,51630.24518508386,10421.139696627346
21,2020-02-23,ES,Spain,EURO,0.0,2.0,0.0,1.0,51729.2031601339,10429.062596174377
22,2020-02-24,ES,Spain,EURO,0.0,2.0,0.0,1.0,51838.04908510958,10437.777157373213
23,2020-02-25,ES,Spain,EURO,0.0,2.0,0.0,1.0,51957.253814769305,10447.32107839775
24,2020-02-26,ES,Spain,EURO,1.0,3.0,0.0,1.0,52087.28820387154,10457.732057421881
25,2020-02-27,ES,Spain,EURO,9.0,12.0,0.0,1.0,52228.623107174506,10469.047792619505
26,2020-02-28,ES,Spain,EURO,13.0,25.0,0.0,1.0,52381.729379436714,10481.305982164517
27,2020-02-29,ES,Spain,EURO,7.0,32.0,0.0,1.0,52547.07787541638,10494.54432423081
28,2020-03-01,ES,Spain,EURO,13.0,45.0,0.0,1.0,52725.139449871895,10508.800516992278
29,2020-03-02,ES,Spain,EURO,21.0,66.0,0.0,1.0,52916.38495756174,10524.112258622823
30,2020-03-03,ES,Spain,EURO,48.0,114.0,1.0,2.0,53121.28525324429,10540.517247296333
31,2020-03-04,ES,Spain,EURO,37.0,151.0,2.0,4.0,53340.31119167778,10558.053181186708
32,2020-03-05,ES,Spain,EURO,49.0,200.0,1.0,5.0,53573.93362762043,10576.757758467844
33,2020-03-06,ES,Spain,EURO,61.0,261.0,3.0,8.0,53822.62341583098,10596.668677313637
34,2020-03-07,ES,Spain,EURO,113.0,374.0,3.0,11.0,54086.85141106756,10617.823635897981
35,2020-03-08,ES,Spain,EURO,0.0,374.0,14.0,25.0,54367.08846808896,10640.26033239477
36,2020-03-09,ES,Spain,EURO,0.0,374.0,16.0,41.0,54663.80544165269,10664.016464977893
37,2020-03-10,ES,Spain,EURO,650.0,1024.0,26.0,67.0,54977.473186517636,10689.129731821258
38,2020-03-11,ES,Spain,EURO,598.0,1622.0,35.0,102.0,55308.56255744231,10715.637831098762
39,2020-03-12,ES,Spain,EURO,518.0,2140.0,55.0,157.0,55657.544409185095,10743.57846098428
40,2020-03-13,ES,Spain,EURO,825.0,2965.0,78.0,235.0,56024.889596504116,10772.989319651733
41,2020-03-14,ES,Spain,EURO,1266.0,4231.0,104.0,339.0,56411.06897415756,10803.908105274999
42,2020-03-15,ES,Spain,EURO,1522.0,5753.0,129.0,468.0,56816.55339690439,10836.372516027983
43,2020-03-16,ES,Spain,EURO,2000.0,7753.0,176.0,644.0,57241.81371950193,10870.420250084577
44,2020-03-17,ES,Spain,EURO,1438.0,9191.0,186.0,830.0,57687.32079670987,10906.089005618667
45,2020-03-18,ES,Spain,EURO,1987.0,11178.0,234.0,1064.0,58153.54548328613,10943.416480804171
46,2020-03-19,ES,Spain,EURO,2538.0,13716.0,307.0,1371.0,58640.958633987626,10982.440373814969
47,2020-03-20,ES,Spain,EURO,3431.0,17147.0,418.0,1789.0,59150.031103574845,11023.198382824945
48,2020-03-21,ES,Spain,EURO,2833.0,19980.0,494.0,2283.0,59681.233746805505,11065.728206008018
49,2020-03-22,ES,Spain,EURO,4946.0,24926.0,535.0,2818.0,60235.037418437765,11110.067541538072
50,2020-03-23,ES,Spain,EURO,3646.0,28572.0,659.0,3477.0,60811.91297322926,11156.254087589008
51,2020-03-24,ES,Spain,EURO,4517.0,33089.0,707.0,4184.0,61412.331265939414,11204.32554233472
52,2020-03-25,ES,Spain,EURO,6584.0,39673.0,782.0,4966.0,62036.76315132691,11254.319603949096
53,2020-03-26,ES,Spain,EURO,7937.0,47610.0,843.0,5809.0,62685.6794841478,11306.273970606038
54,2020-03-27,ES,Spain,EURO,8578.0,56188.0,877.0,6686.0,63359.55111916424,11360.226340479443
55,2020-03-28,ES,Spain,EURO,7871.0,64059.0,814.0,7500.0,64058.84891113107,11416.214411743194
56,2020-03-29,ES,Spain,EURO,8189.0,72248.0,788.0,8288.0,64784.04371480839,11474.275882571194
57,2020-03-30,ES,Spain,EURO,6549.0,78797.0,888.0,9176.0,65535.60638495437,11534.448451137347
58,2020-03-31,ES,Spain,EURO,6398.0,85195.0,870.0,10046.0,66314.00777632714,11596.769815615546
59,2020-04-01,ES,Spain,EURO,9222.0,94417.0,868.0,10914.0,67119.71874368461,11661.277674179662
60,2020-04-02,ES,Spain,EURO,7719.0,102136.0,814.0,11728.0,67953.21014178754,11728.009725003625
61,2020-04-03,ES,Spain,EURO,8102.0,110238.0,759.0,12487.0,68814.95282538896,11797.003666261324
62,2020-04-04,ES,Spain,EURO,7472.0,117710.0,708.0,13195.0,69705.41764925545,11868.297196126628
63,2020-04-05,ES,Spain,EURO,7026.0,124736.0,724.0,13919.0,70625.07546813742,11941.928012773478
64,2020-04-06,ES,Spain,EURO,6023.0,130759.0,733.0,14652.0,71574.39713679662,12017.933814375716
65,2020-04-07,ES,Spain,EURO,4273.0,135032.0,713.0,15365.0,72553.85350999341,12096.352299107315
66,2020-04-08,ES,Spain,EURO,5478.0,140510.0,713.0,16078.0,73563.91544248108,12177.221165142062
