,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-31,GB,The United Kingdom,EURO,2.0,2.0,0.0,0.0,-10.565986102337519,-0.11403528800964802
1,2020-02-01,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,-10.465539300116703,-0.10064750606886941
2,2020-02-02,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,-9.762411684570985,-0.006933032483419144
3,2020-02-03,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,-7.85392244237548,0.24743482422182472
4,2020-02-04,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,-4.137390760205257,0.742782756200183
5,2020-02-05,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,1.9898641752646,1.5594374544240117
6,2020-02-06,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,11.13052317735879,2.777725609842134
7,2020-02-07,GB,The United Kingdom,EURO,1.0,3.0,0.0,0.0,23.88726705940259,4.477973918087271
8,2020-02-08,GB,The United Kingdom,EURO,0.0,3.0,0.0,0.0,40.862776634720575,6.740509065669
9,2020-02-09,GB,The United Kingdom,EURO,1.0,4.0,0.0,0.0,62.65973271663795,9.645657748421042
10,2020-02-10,GB,The United Kingdom,EURO,0.0,4.0,0.0,0.0,89.88081611847943,13.27374665145963
11,2020-02-11,GB,The United Kingdom,EURO,4.0,8.0,0.0,0.0,123.12870765356934,17.705102467604416
12,2020-02-12,GB,The United Kingdom,EURO,0.0,8.0,0.0,0.0,163.00608813523294,23.020051894804606
13,2020-02-13,GB,The United Kingdom,EURO,1.0,9.0,0.0,0.0,210.11563837679498,29.298921640475424
14,2020-02-14,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,265.0600391915833,36.6220383607657
15,2020-02-15,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,328.44197139291794,45.06972875618577
16,2020-02-16,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,400.8641157941272,54.72231954141954
17,2020-02-17,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,482.9291532085317,65.66013741331027
18,2020-02-18,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,575.2397644494662,77.96350900343587
19,2020-02-19,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,678.3986303302395,91.71276103653564
20,2020-02-20,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,793.008431664198,106.98822022774458
21,2020-02-21,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,919.6718492646462,123.8702132268014
22,2020-02-22,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,1058.9915639449173,142.43906675690286
23,2020-02-23,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,1211.5702565183356,162.7751075309139
24,2020-02-24,GB,The United Kingdom,EURO,4.0,13.0,0.0,0.0,1378.0106077982261,184.95866217450438
25,2020-02-25,GB,The United Kingdom,EURO,0.0,13.0,0.0,0.0,1558.9152985979213,209.07005753168104
26,2020-02-26,GB,The United Kingdom,EURO,0.0,13.0,0.0,0.0,1754.8870097307224,235.18962013987093
27,2020-02-27,GB,The United Kingdom,EURO,0.0,13.0,0.0,0.0,1966.5284220099913,263.39767674377856
28,2020-02-28,GB,The United Kingdom,EURO,3.0,16.0,0.0,0.0,2194.4422162490296,293.77455390219313
29,2020-02-29,GB,The United Kingdom,EURO,2.0,18.0,0.0,0.0,2439.23107326116,326.4005784299012
30,2020-03-01,GB,The United Kingdom,EURO,5.0,23.0,0.0,0.0,2701.4976738597065,361.3560770655537
31,2020-03-02,GB,The United Kingdom,EURO,13.0,36.0,0.0,0.0,2981.8446988580026,398.7213764530394
32,2020-03-03,GB,The United Kingdom,EURO,4.0,40.0,0.0,0.0,3280.8748290693807,438.57680334742383
33,2020-03-04,GB,The United Kingdom,EURO,11.0,51.0,0.0,0.0,3599.1907453071694,481.00268442612344
34,2020-03-05,GB,The United Kingdom,EURO,34.0,85.0,0.0,0.0,3937.395128384617,526.0793463225497
35,2020-03-06,GB,The United Kingdom,EURO,30.0,115.0,0.0,0.0,4296.090659115164,573.8871154392624
36,2020-03-07,GB,The United Kingdom,EURO,48.0,163.0,1.0,1.0,4675.880018312092,624.5063190435545
37,2020-03-08,GB,The United Kingdom,EURO,43.0,206.0,1.0,2.0,5077.3658867887,678.0172833917683
38,2020-03-09,GB,The United Kingdom,EURO,67.0,273.0,0.0,2.0,5501.1509453582785,734.5003353083526
39,2020-03-10,GB,The United Kingdom,EURO,48.0,321.0,1.0,3.0,5947.837874834332,794.0358013676965
40,2020-03-11,GB,The United Kingdom,EURO,52.0,373.0,4.0,7.0,6418.029356029947,856.7040088380242
41,2020-03-12,GB,The United Kingdom,EURO,83.0,456.0,0.0,7.0,6912.328069758592,922.5852835898773
42,2020-03-13,GB,The United Kingdom,EURO,134.0,590.0,2.0,9.0,7431.336696833532,991.7599528304787
43,2020-03-14,GB,The United Kingdom,EURO,117.0,707.0,1.0,10.0,7975.657918068124,1064.3083436063976
44,2020-03-15,GB,The United Kingdom,EURO,433.0,1140.0,18.0,28.0,8545.894414275701,1140.3107810712904
45,2020-03-16,GB,The United Kingdom,EURO,251.0,1391.0,15.0,43.0,9142.648866269577,1219.8475939834975
46,2020-03-17,GB,The United Kingdom,EURO,152.0,1543.0,22.0,65.0,9766.523954863047,1302.9991072633788
47,2020-03-18,GB,The United Kingdom,EURO,407.0,1950.0,16.0,81.0,10418.122360869489,1389.8456490257308
48,2020-03-19,GB,The United Kingdom,EURO,680.0,2630.0,34.0,115.0,11098.046765102172,1480.4675444121026
49,2020-03-20,GB,The United Kingdom,EURO,647.0,3277.0,43.0,158.0,11806.899848374494,1574.9451228267067
50,2020-03-21,GB,The United Kingdom,EURO,706.0,3983.0,36.0,194.0,12545.284291499733,1673.358707269516
