,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-28,DE,Germany,EURO,4.0,4.0,0.0,0.0,49103.17850804866,-0.6148760219093112
1,2020-01-29,DE,Germany,EURO,0.0,4.0,0.0,0.0,49103.22964742367,-0.6120756406904443
2,2020-01-30,DE,Germany,EURO,0.0,4.0,0.0,0.0,49103.58762304875,-0.5924729721583756
3,2020-01-31,DE,Germany,EURO,3.0,7.0,0.0,0.0,49104.55927117397,-0.5392657289998832
4,2020-02-01,DE,Germany,EURO,1.0,8.0,0.0,0.0,49106.4514280494,-0.435651623901826
5,2020-02-02,DE,Germany,EURO,2.0,10.0,0.0,0.0,49109.57092992505,-0.26482836955087374
6,2020-02-03,DE,Germany,EURO,0.0,10.0,0.0,0.0,49114.22461305112,-0.009993678633887226
7,2020-02-04,DE,Germany,EURO,2.0,12.0,0.0,0.0,49120.719313677626,0.3456547361622271
8,2020-02-05,DE,Germany,EURO,0.0,12.0,0.0,0.0,49129.36186805458,0.8189191621505707
9,2020-02-06,DE,Germany,EURO,1.0,13.0,0.0,0.0,49140.45911243224,1.4266018866446324
10,2020-02-07,DE,Germany,EURO,1.0,14.0,0.0,0.0,49154.317883059804,2.1855051969581885
11,2020-02-08,DE,Germany,EURO,0.0,14.0,0.0,0.0,49171.24501618973,3.11243138040244
12,2020-02-09,DE,Germany,EURO,0.0,14.0,0.0,0.0,49191.54734806837,4.224182724294081
13,2020-02-10,DE,Germany,EURO,0.0,14.0,0.0,0.0,49215.531714948986,5.537561515941262
14,2020-02-11,DE,Germany,EURO,2.0,16.0,0.0,0.0,49243.504953080395,7.069370042662995
15,2020-02-12,DE,Germany,EURO,0.0,16.0,0.0,0.0,49275.77389871191,8.836410591767958
16,2020-02-13,DE,Germany,EURO,0.0,16.0,0.0,0.0,49312.645388096,10.855485450569745
17,2020-02-14,DE,Germany,EURO,0.0,16.0,0.0,0.0,49354.4262574803,13.143396906384396
18,2020-02-15,DE,Germany,EURO,0.0,16.0,0.0,0.0,49401.423343117305,15.716947246522238
19,2020-02-16,DE,Germany,EURO,0.0,16.0,0.0,0.0,49453.943481255454,18.592938758303433
20,2020-02-17,DE,Germany,EURO,0.0,16.0,0.0,0.0,49512.293508137824,21.78817372903069
21,2020-02-18,DE,Germany,EURO,0.0,16.0,0.0,0.0,49576.78026002554,25.319454446020757
22,2020-02-19,DE,Germany,EURO,0.0,16.0,0.0,0.0,49647.71057317722,29.203583196584702
23,2020-02-20,DE,Germany,EURO,0.0,16.0,0.0,0.0,49725.39128381225,33.45736226805258
24,2020-02-21,DE,Germany,EURO,0.0,16.0,0.0,0.0,49810.129228206366,38.097593947717826
25,2020-02-22,DE,Germany,EURO,0.0,16.0,0.0,0.0,49902.23124259875,43.14108052290209
26,2020-02-23,DE,Germany,EURO,0.0,16.0,0.0,0.0,50002.00416325127,48.60462428089528
27,2020-02-24,DE,Germany,EURO,0.0,16.0,0.0,0.0,50109.75482640277,54.505027509049626
28,2020-02-25,DE,Germany,EURO,2.0,18.0,0.0,0.0,50225.79006830255,60.85909249466914
29,2020-02-26,DE,Germany,EURO,3.0,21.0,0.0,0.0,50350.41672520783,67.68362152504557
30,2020-02-27,DE,Germany,EURO,5.0,26.0,0.0,0.0,50483.941633354654,74.99541688750884
31,2020-02-28,DE,Germany,EURO,31.0,57.0,0.0,0.0,50626.67162902119,82.81128086937002
32,2020-02-29,DE,Germany,EURO,0.0,57.0,0.0,0.0,50778.913548427416,91.14801575792313
