,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-30,IN,India,SEARO,1.0,1.0,0.0,0.0,-39945.607026785336,-877.3070232214602
1,2020-01-31,IN,India,SEARO,0.0,1.0,0.0,0.0,-39945.45682080511,-877.3021947147809
2,2020-02-01,IN,India,SEARO,0.0,1.0,0.0,0.0,-39944.40537894358,-877.2683951680252
3,2020-02-02,IN,India,SEARO,1.0,2.0,0.0,0.0,-39941.55146531934,-877.1766535411172
4,2020-02-03,IN,India,SEARO,1.0,3.0,0.0,0.0,-39935.99384405128,-876.9979987939804
5,2020-02-04,IN,India,SEARO,0.0,3.0,0.0,0.0,-39926.83127925843,-876.7034598865387
6,2020-02-05,IN,India,SEARO,0.0,3.0,0.0,0.0,-39913.16253505736,-876.2640657787158
7,2020-02-06,IN,India,SEARO,0.0,3.0,0.0,0.0,-39894.08637557151,-875.6508454304355
8,2020-02-07,IN,India,SEARO,0.0,3.0,0.0,0.0,-39868.70156491287,-874.8348278016216
9,2020-02-08,IN,India,SEARO,0.0,3.0,0.0,0.0,-39836.10686720601,-873.7870418521978
10,2020-02-09,IN,India,SEARO,0.0,3.0,0.0,0.0,-39795.401046570114,-872.478516542088
11,2020-02-10,IN,India,SEARO,0.0,3.0,0.0,0.0,-39745.68286711229,-870.8802808312157
12,2020-02-11,IN,India,SEARO,0.0,3.0,0.0,0.0,-39686.05109296153,-868.963363679505
13,2020-02-12,IN,India,SEARO,0.0,3.0,0.0,0.0,-39615.60448824866,-866.6987940468794
14,2020-02-13,IN,India,SEARO,0.0,3.0,0.0,0.0,-39533.44181707474,-864.057600893263
15,2020-02-14,IN,India,SEARO,0.0,3.0,0.0,0.0,-39438.66184356036,-861.0108131785789
16,2020-02-15,IN,India,SEARO,0.0,3.0,0.0,0.0,-39330.36333180564,-857.5294598627517
17,2020-02-16,IN,India,SEARO,0.0,3.0,0.0,0.0,-39207.64504594701,-853.5845699057044
18,2020-02-17,IN,India,SEARO,0.0,3.0,0.0,0.0,-39069.6057501507,-849.147172267361
19,2020-02-18,IN,India,SEARO,0.0,3.0,0.0,0.0,-38915.34420850473,-844.1882959076464
20,2020-02-19,IN,India,SEARO,0.0,3.0,0.0,0.0,-38743.95918506356,-838.6789697864823
21,2020-02-20,IN,India,SEARO,0.0,3.0,0.0,0.0,-38554.54944397854,-832.5902228637939
22,2020-02-21,IN,India,SEARO,0.0,3.0,0.0,0.0,-38346.213749400995,-825.8930840995042
23,2020-02-22,IN,India,SEARO,0.0,3.0,0.0,0.0,-38118.05086535933,-818.5585824535377
24,2020-02-23,IN,India,SEARO,0.0,3.0,0.0,0.0,-37869.15955619486,-810.5577468858188
25,2020-02-24,IN,India,SEARO,0.0,3.0,0.0,0.0,-37598.638585924826,-801.8616063562696
26,2020-02-25,IN,India,SEARO,0.0,3.0,0.0,0.0,-37305.58671849193,-792.4411898248136
27,2020-02-26,IN,India,SEARO,0.0,3.0,0.0,0.0,-36989.102718233786,-782.2675262513756
28,2020-02-27,IN,India,SEARO,0.0,3.0,0.0,0.0,-36648.28534910055,-771.3116445958827
29,2020-02-28,IN,India,SEARO,0.0,3.0,0.0,0.0,-36282.23337540003,-759.5445738182505
30,2020-02-29,IN,India,SEARO,0.0,3.0,0.0,0.0,-35890.04556098553,-746.9373428784102
31,2020-03-01,IN,India,SEARO,0.0,3.0,0.0,0.0,-35470.82067014249,-733.4609807362804
32,2020-03-02,IN,India,SEARO,2.0,5.0,0.0,0.0,-35023.657466947756,-719.0865163517916
33,2020-03-03,IN,India,SEARO,0.0,5.0,0.0,0.0,-34547.654715880475,-703.7849786848578
34,2020-03-04,IN,India,SEARO,22.0,27.0,0.0,0.0,-34041.91118007871,-687.5273966954137
35,2020-03-05,IN,India,SEARO,2.0,29.0,0.0,0.0,-33505.525625079594,-670.284799343375
36,2020-03-06,IN,India,SEARO,2.0,31.0,0.0,0.0,-32937.59681370827,-652.0282155886671
37,2020-03-07,IN,India,SEARO,3.0,34.0,0.0,0.0,-32337.223511188946,-632.728674391218
38,2020-03-08,IN,India,SEARO,5.0,39.0,0.0,0.0,-31703.504480540476,-612.3572047109496
39,2020-03-09,IN,India,SEARO,5.0,44.0,0.0,0.0,-31035.538486212216,-590.8848355077794
40,2020-03-10,IN,India,SEARO,6.0,50.0,0.0,0.0,-30332.42429301115,-568.2825957416372
41,2020-03-11,IN,India,SEARO,10.0,60.0,0.0,0.0,-29593.26066347929,-544.5215143724404
42,2020-03-12,IN,India,SEARO,14.0,74.0,0.0,0.0,-28817.14636433097,-519.5726203601293
43,2020-03-13,IN,India,SEARO,7.0,81.0,1.0,1.0,-28003.180157452545,-493.406942664612
44,2020-03-14,IN,India,SEARO,3.0,84.0,1.0,2.0,-27150.46080771061,-465.9955102458119
45,2020-03-15,IN,India,SEARO,23.0,107.0,0.0,2.0,-26258.087079733334,-437.3093520636664
46,2020-03-16,IN,India,SEARO,7.0,114.0,0.0,2.0,-25325.157735377274,-407.3194970780803
47,2020-03-17,IN,India,SEARO,23.0,137.0,1.0,3.0,-24350.771542519054,-375.99697424898966
48,2020-03-18,IN,India,SEARO,14.0,151.0,0.0,3.0,-23334.027262061558,-343.3128125363288
49,2020-03-19,IN,India,SEARO,44.0,195.0,1.0,4.0,-22274.023660331688,-309.2380408999941
50,2020-03-20,IN,India,SEARO,0.0,195.0,0.0,4.0,-21169.859499901257,-273.74368829993523
51,2020-03-21,IN,India,SEARO,88.0,283.0,0.0,4.0,-20020.633545011005,-236.80078369605428
