,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-02-19,IR,Iran (Islamic Republic of),EMRO,2.0,2.0,2.0,2.0,50529.616981744606,3289.3073119428173
1,2020-02-20,IR,Iran (Islamic Republic of),EMRO,3.0,5.0,0.0,2.0,50529.69605838364,3289.310553797183
2,2020-02-21,IR,Iran (Islamic Republic of),EMRO,13.0,18.0,2.0,4.0,50530.2495948569,3289.33324677774
3,2020-02-22,IR,Iran (Islamic Republic of),EMRO,10.0,28.0,1.0,5.0,50531.75205099858,3289.3948420104452
4,2020-02-23,IR,Iran (Islamic Republic of),EMRO,15.0,43.0,3.0,8.0,50534.677886642916,3289.5147906222
5,2020-02-24,IR,Iran (Islamic Republic of),EMRO,18.0,61.0,4.0,12.0,50539.50156162412,3289.712543737858
6,2020-02-25,IR,Iran (Islamic Republic of),EMRO,34.0,95.0,3.0,15.0,50546.6975357764,3290.0075524838394
7,2020-02-26,IR,Iran (Islamic Republic of),EMRO,44.0,139.0,4.0,19.0,50556.74026893399,3290.419267987896
8,2020-02-27,IR,Iran (Islamic Republic of),EMRO,106.0,245.0,7.0,26.0,50570.1042209311,3290.9671413778797
9,2020-02-28,IR,Iran (Islamic Republic of),EMRO,143.0,388.0,8.0,34.0,50587.263851601936,3291.670623772088
10,2020-02-29,IR,Iran (Islamic Republic of),EMRO,205.0,593.0,9.0,43.0,50608.69362078073,3292.5491663031444
11,2020-03-01,IR,Iran (Islamic Republic of),EMRO,0.0,593.0,0.0,43.0,50634.86798830167,3293.6222200944776
12,2020-03-02,IR,Iran (Islamic Republic of),EMRO,908.0,1501.0,23.0,66.0,50666.26141399897,3294.9092362709944
13,2020-03-03,IR,Iran (Islamic Republic of),EMRO,835.0,2336.0,11.0,77.0,50703.34835770697,3296.429665959282
14,2020-03-04,IR,Iran (Islamic Republic of),EMRO,586.0,2922.0,15.0,92.0,50746.60327925963,3298.202960303448
15,2020-03-05,IR,Iran (Islamic Republic of),EMRO,591.0,3513.0,15.0,107.0,50796.500638491576,3300.248570410551
16,2020-03-06,IR,Iran (Islamic Republic of),EMRO,1234.0,4747.0,17.0,124.0,50853.51489523652,3302.5859474233166
17,2020-03-07,IR,Iran (Islamic Republic of),EMRO,1076.0,5823.0,21.0,145.0,50918.12050932908,3305.2345423989045
18,2020-03-08,IR,Iran (Islamic Republic of),EMRO,743.0,6566.0,49.0,194.0,50990.79194060324,3308.213806576985
19,2020-03-09,IR,Iran (Islamic Republic of),EMRO,595.0,7161.0,43.0,237.0,51072.003648893406,3311.54319103739
20,2020-03-10,IR,Iran (Islamic Republic of),EMRO,881.0,8042.0,54.0,291.0,51162.23009403362,3315.2421468254342
21,2020-03-11,IR,Iran (Islamic Republic of),EMRO,958.0,9000.0,63.0,354.0,51261.945735857844,3319.330125197901
22,2020-03-12,IR,Iran (Islamic Republic of),EMRO,1075.0,10075.0,75.0,429.0,51371.62503420111,3323.8265771561
23,2020-03-13,IR,Iran (Islamic Republic of),EMRO,1289.0,11364.0,85.0,514.0,51491.742448895995,3328.75095397678
24,2020-03-14,IR,Iran (Islamic Republic of),EMRO,1365.0,12729.0,94.0,608.0,51622.772439779495,3334.122706568234
25,2020-03-15,IR,Iran (Islamic Republic of),EMRO,1254.0,13983.0,116.0,724.0,51765.189466683965,3339.9612863268867
26,2020-03-16,IR,Iran (Islamic Republic of),EMRO,1008.0,14991.0,129.0,853.0,51919.46798944352,3346.2861440745346
27,2020-03-17,IR,Iran (Islamic Republic of),EMRO,1178.0,16169.0,135.0,988.0,52086.082467891916,3353.116731430886
