,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-29,IT,Italy,EURO,2.0,2.0,0.0,0.0,63988.28030750549,8024.807163605513
1,2020-01-30,IT,Italy,EURO,0.0,2.0,0.0,0.0,63988.33645279519,8024.816414962597
2,2020-01-31,IT,Italy,EURO,0.0,2.0,0.0,0.0,63988.729469823105,8024.881174462187
3,2020-02-01,IT,Italy,EURO,0.0,2.0,0.0,0.0,63989.79623032744,8025.056950246788
4,2020-02-02,IT,Italy,EURO,0.0,2.0,0.0,0.0,63991.8736060464,8025.399250458906
5,2020-02-03,IT,Italy,EURO,0.0,2.0,0.0,0.0,63995.2984687182,8025.963583241046
6,2020-02-04,IT,Italy,EURO,0.0,2.0,0.0,0.0,64000.40769008106,8026.805456735713
7,2020-02-05,IT,Italy,EURO,0.0,2.0,0.0,0.0,64007.53814187318,8027.980379085414
8,2020-02-06,IT,Italy,EURO,0.0,2.0,0.0,0.0,64017.02669583277,8029.543858432654
9,2020-02-07,IT,Italy,EURO,1.0,3.0,0.0,0.0,64029.21022369804,8031.5514029199385
10,2020-02-08,IT,Italy,EURO,0.0,3.0,0.0,0.0,64044.42559720721,8034.058520689773
11,2020-02-09,IT,Italy,EURO,0.0,3.0,0.0,0.0,64063.00968809848,8037.120719884664
12,2020-02-10,IT,Italy,EURO,0.0,3.0,0.0,0.0,64085.29936811006,8040.793508647115
13,2020-02-11,IT,Italy,EURO,0.0,3.0,0.0,0.0,64111.631508980165,8045.132395119634
14,2020-02-12,IT,Italy,EURO,0.0,3.0,0.0,0.0,64142.34298244701,8050.192887444724
15,2020-02-13,IT,Italy,EURO,0.0,3.0,0.0,0.0,64177.770660248796,8056.0304937648925
16,2020-02-14,IT,Italy,EURO,0.0,3.0,0.0,0.0,64218.25141412373,8062.700722222645
17,2020-02-15,IT,Italy,EURO,0.0,3.0,0.0,0.0,64264.12211581004,8070.259080960485
18,2020-02-16,IT,Italy,EURO,0.0,3.0,0.0,0.0,64315.71963704592,8078.7610781209205
19,2020-02-17,IT,Italy,EURO,0.0,3.0,0.0,0.0,64373.38084956959,8088.262221846457
20,2020-02-18,IT,Italy,EURO,0.0,3.0,0.0,0.0,64437.44262511925,8098.8180202795975
