,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-31,RU,Russian Federation,EURO,2.0,2.0,0.0,0.0,-3607.9235250900706,-214.48235841769946
1,2020-02-01,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3607.7395600100335,-214.47968728362196
2,2020-02-02,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3606.451804449773,-214.46098934507944
3,2020-02-03,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3602.956467929233,-214.41023779762617
4,2020-02-04,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3596.149759967691,-214.3114058367393
5,2020-02-05,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3584.927890086055,-214.14846665804015
6,2020-02-06,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3568.1870678033697,-213.90539345711312
7,2020-02-07,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3544.823502639792,-213.5661594291816
8,2020-02-08,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3513.733404111033,-213.11473777001828
9,2020-02-09,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3473.8129817447657,-212.53510167550866
10,2020-02-10,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3423.9584450579455,-211.81122434042499
11,2020-02-11,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3363.066003571064,-210.92707896179508
12,2020-02-12,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3290.0318667964634,-209.86663873300876
13,2020-02-13,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3203.752244260951,-208.6138768509192
14,2020-02-14,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-3103.1233454878416,-207.15276650955656
15,2020-02-15,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2987.0413799814155,-205.46728090859705
16,2020-02-16,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2854.40255725777,-203.54139323625003
17,2020-02-17,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2704.103086882594,-201.35907669807074
18,2020-02-18,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2535.0391783276314,-198.90430448017304
19,2020-02-19,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2346.107041141225,-196.16104978322272
20,2020-02-20,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-2136.2028848330697,-193.11328579950367
21,2020-02-21,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-1904.2229189455716,-189.74498573480395
22,2020-02-22,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-1649.063352938017,-186.0401227704644
23,2020-02-23,RU,Russian Federation,EURO,0.0,2.0,0.0,0.0,-1369.6203963889016,-181.98267010808212
