,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-02-02,ES,Spain,EURO,1.0,1.0,0.0,0.0,44905.905008976646,9372.08586082096
1,2020-02-03,ES,Spain,EURO,0.0,1.0,0.0,0.0,44905.976658830514,9372.0924451463
2,2020-02-04,ES,Spain,EURO,0.0,1.0,0.0,0.0,44906.4782078076,9372.13853542367
3,2020-02-05,ES,Spain,EURO,0.0,1.0,0.0,0.0,44907.83955503113,9372.26363760497
4,2020-02-06,ES,Spain,EURO,0.0,1.0,0.0,0.0,44910.49059962432,9372.50725764264
5,2020-02-07,ES,Spain,EURO,0.0,1.0,0.0,0.0,44914.86124071039,9372.908901488008
6,2020-02-08,ES,Spain,EURO,0.0,1.0,0.0,0.0,44921.381377412545,9373.508075093043
7,2020-02-09,ES,Spain,EURO,0.0,1.0,0.0,0.0,44930.48090885402,9374.344284411527
8,2020-02-10,ES,Spain,EURO,1.0,2.0,0.0,0.0,44942.589734158035,9375.457035394393
9,2020-02-11,ES,Spain,EURO,0.0,2.0,0.0,0.0,44958.1377524478,9376.88583399589
10,2020-02-12,ES,Spain,EURO,0.0,2.0,0.0,0.0,44977.55486284655,9378.670186157346
11,2020-02-13,ES,Spain,EURO,0.0,2.0,1.0,1.0,45001.27096447748,9380.849597841974
12,2020-02-14,ES,Spain,EURO,0.0,2.0,0.0,1.0,45029.71595646383,9383.463574997622
13,2020-02-15,ES,Spain,EURO,0.0,2.0,0.0,1.0,45063.31973792881,9386.5516235889
14,2020-02-16,ES,Spain,EURO,0.0,2.0,0.0,1.0,45102.51220799565,9390.153249545496
15,2020-02-17,ES,Spain,EURO,0.0,2.0,0.0,1.0,45147.72326578755,9394.307958836209
16,2020-02-18,ES,Spain,EURO,0.0,2.0,0.0,1.0,45199.38281042775,9399.055257408421
17,2020-02-19,ES,Spain,EURO,0.0,2.0,0.0,1.0,45257.92074103945,9404.43465120579
18,2020-02-20,ES,Spain,EURO,0.0,2.0,0.0,1.0,45323.76695674588,9410.485646220397
19,2020-02-21,ES,Spain,EURO,0.0,2.0,0.0,1.0,45397.35135667026,9417.247748299043
20,2020-02-22,ES,Spain,EURO,0.0,2.0,0.0,1.0,45479.10383993584,9424.760463512044
21,2020-02-23,ES,Spain,EURO,0.0,2.0,0.0,1.0,45569.45430566573,9433.063297736
22,2020-02-24,ES,Spain,EURO,0.0,2.0,0.0,1.0,45668.832652983314,9442.195756989073
23,2020-02-25,ES,Spain,EURO,0.0,2.0,0.0,1.0,45777.66878101166,9452.19734718139
24,2020-02-26,ES,Spain,EURO,1.0,3.0,0.0,1.0,45896.39258887412,9463.107574234258
25,2020-02-27,ES,Spain,EURO,9.0,12.0,0.0,1.0,46025.433975693806,9474.965944232892
26,2020-02-28,ES,Spain,EURO,13.0,25.0,0.0,1.0,46165.22284059397,9487.811962964486
27,2020-02-29,ES,Spain,EURO,7.0,32.0,0.0,1.0,46316.18908269793,9501.685136454653
28,2020-03-01,ES,Spain,EURO,13.0,45.0,0.0,1.0,46478.76260112866,9516.624970617246
29,2020-03-02,ES,Spain,EURO,21.0,66.0,0.0,1.0,46653.373295009515,9532.670971455525
30,2020-03-03,ES,Spain,EURO,48.0,114.0,1.0,2.0,46840.45106346389,9549.86264494295
31,2020-03-04,ES,Spain,EURO,37.0,151.0,2.0,4.0,47040.42580561485,9568.239496978473
32,2020-03-05,ES,Spain,EURO,49.0,200.0,1.0,5.0,47253.72742058549,9587.84103352065
33,2020-03-06,ES,Spain,EURO,61.0,261.0,3.0,8.0,47480.78580749916,9608.706760557841
34,2020-03-07,ES,Spain,EURO,113.0,374.0,3.0,11.0,47722.030865479115,9630.876183899592
35,2020-03-08,ES,Spain,EURO,0.0,374.0,14.0,25.0,47977.892493648586,9654.388809683274
36,2020-03-09,ES,Spain,EURO,0.0,374.0,16.0,41.0,48248.8005911305,9679.284144016456
37,2020-03-10,ES,Spain,EURO,650.0,1024.0,26.0,67.0,48535.18505704857,9705.601692231845
38,2020-03-11,ES,Spain,EURO,598.0,1622.0,35.0,102.0,48837.475790525576,9733.380960645627
39,2020-03-12,ES,Spain,EURO,518.0,2140.0,55.0,157.0,49156.10269068531,9762.661455514382
40,2020-03-13,ES,Spain,EURO,825.0,2965.0,78.0,235.0,49491.4956566502,9793.482682349633
41,2020-03-14,ES,Spain,EURO,1266.0,4231.0,104.0,339.0,49844.08458754406,9825.884147258948
42,2020-03-15,ES,Spain,EURO,1522.0,5753.0,129.0,468.0,50214.29938248932,9859.90535614128
