,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-01-31,GB,The United Kingdom,EURO,2.0,2.0,0.0,0.0,6009.229930481434,-0.008936191306827853
1,2020-02-01,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,6009.328402637696,0.00467299189326254
2,2020-02-02,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,6010.017707731528,0.09993727429389529
3,2020-02-03,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,6011.888678700501,0.3585117550956126
4,2020-02-04,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,6015.532148482185,0.8620515334989572
5,2020-02-05,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,6021.538950014152,1.6922117087044801
6,2020-02-06,GB,The United Kingdom,EURO,0.0,2.0,0.0,0.0,6030.49991623397,2.930647379912696
7,2020-02-07,GB,The United Kingdom,EURO,1.0,3.0,0.0,0.0,6043.00588007921,4.659013646324204
8,2020-02-08,GB,The United Kingdom,EURO,0.0,3.0,0.0,0.0,6059.647674487444,6.9589656071394534
9,2020-02-09,GB,The United Kingdom,EURO,1.0,4.0,0.0,0.0,6081.016132396241,9.912158361559088
10,2020-02-10,GB,The United Kingdom,EURO,0.0,4.0,0.0,0.0,6107.702086743172,13.600247008783635
11,2020-02-11,GB,The United Kingdom,EURO,4.0,8.0,0.0,0.0,6140.296370465807,18.10488664801353
12,2020-02-12,GB,The United Kingdom,EURO,0.0,8.0,0.0,0.0,6179.389816501717,23.507732378449365
13,2020-02-13,GB,The United Kingdom,EURO,1.0,9.0,0.0,0.0,6225.573257788473,29.890439299291774
14,2020-02-14,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,6279.437527263643,37.33466250974142
15,2020-02-15,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,6341.5734578648,45.92205710899809
16,2020-02-16,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,6412.5718825295135,55.73427819626342
17,2020-02-17,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,6493.023634195352,66.85298087073748
18,2020-02-18,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,6583.51954579989,79.3598202316205
19,2020-02-19,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,6684.650450280695,93.3364513781131
20,2020-02-20,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,6797.007180575338,108.86452940941687
21,2020-02-21,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,6921.18056962139,126.02570942472987
22,2020-02-22,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,7057.761450356419,144.90164652325603
23,2020-02-23,GB,The United Kingdom,EURO,0.0,9.0,0.0,0.0,7207.340655717999,165.57399580419224
24,2020-02-24,GB,The United Kingdom,EURO,4.0,13.0,0.0,0.0,7370.509018643701,188.12441236674272
25,2020-02-25,GB,The United Kingdom,EURO,0.0,13.0,0.0,0.0,7547.857372071089,212.63455131010687
26,2020-02-26,GB,The United Kingdom,EURO,0.0,13.0,0.0,0.0,7739.9765489377405,239.186067733482
27,2020-02-27,GB,The United Kingdom,EURO,0.0,13.0,0.0,0.0,7947.457382181222,267.86061673607367
28,2020-02-28,GB,The United Kingdom,EURO,3.0,16.0,0.0,0.0,8170.890704739105,298.7398534170792
29,2020-02-29,GB,The United Kingdom,EURO,2.0,18.0,0.0,0.0,8410.86734954896,331.9054328756989
30,2020-03-01,GB,The United Kingdom,EURO,5.0,23.0,0.0,0.0,8667.978149548358,367.43901021113254
31,2020-03-02,GB,The United Kingdom,EURO,13.0,36.0,0.0,0.0,8942.81393767487,405.42224052258723
32,2020-03-03,GB,The United Kingdom,EURO,4.0,40.0,0.0,0.0,9235.965546866068,445.93677890925517
33,2020-03-04,GB,The United Kingdom,EURO,11.0,51.0,0.0,0.0,9548.023810059509,489.06428047034376
34,2020-03-05,GB,The United Kingdom,EURO,34.0,85.0,0.0,0.0,9879.57956019278,534.8864003050477
35,2020-03-06,GB,The United Kingdom,EURO,30.0,115.0,0.0,0.0,10231.223630203447,583.4847935125725
36,2020-03-07,GB,The United Kingdom,EURO,48.0,163.0,1.0,1.0,10603.54685302908,634.9411151921119
37,2020-03-08,GB,The United Kingdom,EURO,43.0,206.0,1.0,2.0,10997.140061607239,689.3370204428726
38,2020-03-09,GB,The United Kingdom,EURO,67.0,273.0,0.0,2.0,11412.594088875516,746.7541643640526
39,2020-03-10,GB,The United Kingdom,EURO,48.0,321.0,1.0,3.0,11850.49976777147,807.2742020548623
40,2020-03-11,GB,The United Kingdom,EURO,52.0,373.0,4.0,7.0,12311.447931232666,870.9787886144828
41,2020-03-12,GB,The United Kingdom,EURO,83.0,456.0,0.0,7.0,12796.029412196687,937.9495791421251
42,2020-03-13,GB,The United Kingdom,EURO,134.0,590.0,2.0,9.0,13304.835043601079,1008.2682287369868
43,2020-03-14,GB,The United Kingdom,EURO,117.0,707.0,1.0,10.0,13838.455658383438,1082.0163924982826
44,2020-03-15,GB,The United Kingdom,EURO,433.0,1140.0,18.0,28.0,14397.482089481313,1159.2757255251959
45,2020-03-16,GB,The United Kingdom,EURO,251.0,1391.0,15.0,43.0,14982.5051698323,1240.1278829169314
46,2020-03-17,GB,The United Kingdom,EURO,152.0,1543.0,22.0,65.0,15594.115732373946,1324.6545197726855
47,2020-03-18,GB,The United Kingdom,EURO,407.0,1950.0,16.0,81.0,16232.904610043857,1412.937291191678
48,2020-03-19,GB,The United Kingdom,EURO,680.0,2630.0,34.0,115.0,16899.462635779568,1505.0578522730893
49,2020-03-20,GB,The United Kingdom,EURO,647.0,3277.0,43.0,158.0,17594.380642518663,1601.0978581161262
50,2020-03-21,GB,The United Kingdom,EURO,706.0,3983.0,36.0,194.0,18318.249463198677,1701.1389638200026
51,2020-03-22,GB,The United Kingdom,EURO,1035.0,5018.0,56.0,250.0,19071.659930757232,1805.2628244838834
52,2020-03-23,GB,The United Kingdom,EURO,669.0,5687.0,35.0,285.0,19855.20287813188,1913.5510952070035
53,2020-03-24,GB,The United Kingdom,EURO,967.0,6654.0,74.0,359.0,20669.469138260196,2026.0854310885497
54,2020-03-25,GB,The United Kingdom,EURO,1427.0,8081.0,149.0,508.0,21515.049544079735,2142.947487227737
55,2020-03-26,GB,The United Kingdom,EURO,1452.0,9533.0,186.0,694.0,22392.534928528086,2264.21891872374
56,2020-03-27,GB,The United Kingdom,EURO,2129.0,11662.0,183.0,877.0,23302.5161245428,2389.981380675781
57,2020-03-28,GB,The United Kingdom,EURO,2885.0,14547.0,284.0,1161.0,24245.58396506147,2520.316528183049
58,2020-03-29,GB,The United Kingdom,EURO,2546.0,17093.0,294.0,1455.0,25222.329283021638,2655.306016344739
59,2020-03-30,GB,The United Kingdom,EURO,2433.0,19526.0,214.0,1669.0,26233.342911360935,2795.0315002600655
60,2020-03-31,GB,The United Kingdom,EURO,2619.0,22145.0,374.0,2043.0,27279.215683016824,2939.574635028208
61,2020-04-01,GB,The United Kingdom,EURO,3009.0,25154.0,382.0,2425.0,28360.538430926998,3089.017075748423
62,2020-04-02,GB,The United Kingdom,EURO,4324.0,29478.0,670.0,3095.0,29477.901988028912,3243.4404775198454
63,2020-04-03,GB,The United Kingdom,EURO,4244.0,33722.0,652.0,3747.0,30631.897187260223,3402.9264954417267
64,2020-04-04,GB,The United Kingdom,EURO,4450.0,38172.0,714.0,4461.0,31823.114861558493,3567.556784613189
65,2020-04-05,GB,The United Kingdom,EURO,3735.0,41907.0,760.0,5221.0,33052.14584386118,3737.4130001334997
66,2020-04-06,GB,The United Kingdom,EURO,5903.0,47810.0,644.0,5865.0,34319.58096710603,3912.5767971018977
67,2020-04-07,GB,The United Kingdom,EURO,3802.0,51612.0,568.0,6433.0,35626.011064230566,4093.129830617476
68,2020-04-08,GB,The United Kingdom,EURO,3634.0,55246.0,1038.0,7471.0,36972.026968172206,4279.153755779529
69,2020-04-09,GB,The United Kingdom,EURO,5491.0,60737.0,1034.0,8505.0,38358.21951186877,4470.730227687185
70,2020-04-10,GB,The United Kingdom,EURO,4344.0,65081.0,1103.0,9608.0,39785.17952825754,4667.940901439728
71,2020-04-11,GB,The United Kingdom,EURO,5195.0,70276.0,1152.0,10760.0,41253.497850276384,4870.8674321362505
72,2020-04-12,GB,The United Kingdom,EURO,8719.0,78995.0,839.0,11599.0,42763.765310862604,5079.591474876042
73,2020-04-13,GB,The United Kingdom,EURO,5288.0,84283.0,686.0,12285.0,44316.57274295392,5294.194684758242
74,2020-04-14,GB,The United Kingdom,EURO,4342.0,88625.0,744.0,13029.0,45912.51097948788,5514.758716882128
75,2020-04-15,GB,The United Kingdom,EURO,5252.0,93877.0,1044.0,14073.0,47552.17085340215,5741.365226346823
76,2020-04-16,GB,The United Kingdom,EURO,4603.0,98480.0,842.0,14915.0,49236.14319763409,5974.095868251568
77,2020-04-17,GB,The United Kingdom,EURO,4617.0,103097.0,1029.0,15944.0,50965.01884512146,6213.032297695552
78,2020-04-18,GB,The United Kingdom,EURO,5599.0,108696.0,935.0,16879.0,52739.38862880172,6458.256169778046
79,2020-04-19,GB,The United Kingdom,EURO,5525.0,114221.0,1115.0,17994.0,54559.843381612496,6709.849139598062
80,2020-04-20,GB,The United Kingdom,EURO,5850.0,120071.0,498.0,18492.0,56426.97393649129,6967.89286225501
81,2020-04-21,GB,The United Kingdom,EURO,4676.0,124747.0,559.0,19051.0,58341.37112637575,7232.468992847966
82,2020-04-22,GB,The United Kingdom,EURO,4301.0,129048.0,1172.0,20223.0,60303.62578420346,7503.6591864761485
83,2020-04-23,GB,The United Kingdom,EURO,4451.0,133499.0,837.0,21060.0,62314.328742911704,7781.54509823879
84,2020-04-24,GB,The United Kingdom,EURO,4583.0,138082.0,727.0,21787.0,64374.07083543859,8066.208383235042
85,2020-04-25,GB,The United Kingdom,EURO,5386.0,143468.0,1005.0,22792.0,66483.44289472143,8357.73069656423
86,2020-04-26,GB,The United Kingdom,EURO,4913.0,148381.0,843.0,23635.0,68643.03575369748,8656.19369332541
87,2020-04-27,GB,The United Kingdom,EURO,4463.0,152844.0,420.0,24055.0,70853.44024530475,8961.67902861781
88,2020-04-28,GB,The United Kingdom,EURO,4309.0,157153.0,338.0,24393.0,73115.24720248046,9274.268357540715
89,2020-04-29,GB,The United Kingdom,EURO,3996.0,161149.0,909.0,25302.0,75429.04745816265,9594.043335193235
90,2020-04-30,GB,The United Kingdom,EURO,4076.0,165225.0,795.0,26097.0,77795.43184528836,9921.0856166746
91,2020-05-01,GB,The United Kingdom,EURO,6032.0,171257.0,674.0,26771.0,80214.99119679537,10255.476857084033
92,2020-05-02,GB,The United Kingdom,EURO,6201.0,177458.0,739.0,27510.0,82688.31634562154,10597.298711520632
93,2020-05-03,GB,The United Kingdom,EURO,4806.0,182264.0,621.0,28131.0,85215.99812470422,10946.632835083807
94,2020-05-04,GB,The United Kingdom,EURO,4339.0,186603.0,315.0,28446.0,87798.62736698083,11303.560882872573
95,2020-05-05,GB,The United Kingdom,EURO,3985.0,190588.0,288.0,28734.0,90436.79490538903,11668.16450998619
96,2020-05-06,GB,The United Kingdom,EURO,4406.0,194994.0,693.0,29427.0,93131.09157286651,12040.525371523863
97,2020-05-07,GB,The United Kingdom,EURO,6211.0,201205.0,649.0,30076.0,95882.10820235073,12420.725122584872
98,2020-05-08,GB,The United Kingdom,EURO,5514.0,206719.0,539.0,30615.0,98690.43562677928,12808.845418268158
99,2020-05-09,GB,The United Kingdom,EURO,4649.0,211368.0,626.0,31241.0,101556.6646790895,13204.967913673243
100,2020-05-10,GB,The United Kingdom,EURO,3896.0,215264.0,346.0,31587.0,104481.38619221938,13609.17426389917
101,2020-05-11,GB,The United Kingdom,EURO,3923.0,219187.0,268.0,31855.0,107465.1909991064,14021.54612404508
102,2020-05-12,GB,The United Kingdom,EURO,3877.0,223064.0,210.0,32065.0,110508.66993268783,14442.165149210216
103,2020-05-13,GB,The United Kingdom,EURO,3403.0,226467.0,627.0,32692.0,113612.41382590159,14871.112994493915
104,2020-05-14,GB,The United Kingdom,EURO,3242.0,229709.0,494.0,33186.0,116777.01351168501,15308.471314995177
105,2020-05-15,GB,The United Kingdom,EURO,3446.0,233155.0,428.0,33614.0,120003.05982297567,15754.321765813305
106,2020-05-16,GB,The United Kingdom,EURO,3560.0,236715.0,384.0,33998.0,123291.14359271154,16208.746002047546
107,2020-05-17,GB,The United Kingdom,EURO,3450.0,240165.0,468.0,34466.0,126641.85565382965,16671.82567879709
108,2020-05-18,GB,The United Kingdom,EURO,3534.0,243699.0,170.0,34636.0,130055.78683926785,17143.642451161046
109,2020-05-19,GB,The United Kingdom,EURO,2711.0,246410.0,160.0,34796.0,133533.52798196382,17624.277974238605
110,2020-05-20,GB,The United Kingdom,EURO,2412.0,248822.0,545.0,35341.0,137075.66991485466,18113.81390312907
111,2020-05-21,GB,The United Kingdom,EURO,-525.0,248297.0,363.0,35704.0,140682.80347087866,18612.331892931594
112,2020-05-22,GB,The United Kingdom,EURO,2615.0,250912.0,338.0,36042.0,144355.51948297236,19119.9135987454
113,2020-05-23,GB,The United Kingdom,EURO,3287.0,254199.0,351.0,36393.0,148094.4087840744,19636.640675669536
114,2020-05-24,GB,The United Kingdom,EURO,2959.0,257158.0,282.0,36675.0,151900.06220712172,20162.59477880354
115,2020-05-25,GB,The United Kingdom,EURO,2405.0,259563.0,118.0,36793.0,155773.07058505213,20697.857563246216
116,2020-05-26,GB,The United Kingdom,EURO,1625.0,261188.0,121.0,36914.0,159714.02475080307,21242.510684097062
117,2020-05-27,GB,The United Kingdom,EURO,4043.0,265231.0,134.0,37048.0,163723.5155373125,21796.635796455077
118,2020-05-28,GB,The United Kingdom,EURO,2013.0,267244.0,412.0,37460.0,167802.13377751745,22360.314555419674
119,2020-05-29,GB,The United Kingdom,EURO,1887.0,269131.0,377.0,37837.0,171950.47030435543,22933.628616089853
120,2020-05-30,GB,The United Kingdom,EURO,2095.0,271226.0,324.0,38161.0,176169.11595076456,23516.659633564814
121,2020-05-31,GB,The United Kingdom,EURO,1604.0,272830.0,215.0,38376.0,180458.6615496819,24109.489262943862
122,2020-06-01,GB,The United Kingdom,EURO,1936.0,274766.0,113.0,38489.0,184819.69793404595,24712.199159326534
123,2020-06-02,GB,The United Kingdom,EURO,1570.0,276336.0,556.0,39045.0,189252.81593679305,25324.87097781129
124,2020-06-03,GB,The United Kingdom,EURO,1653.0,277989.0,324.0,39369.0,193758.60639086127,25947.586373497914
125,2020-06-04,GB,The United Kingdom,EURO,1871.0,279860.0,359.0,39728.0,198337.6601291884,26580.427001485274
126,2020-06-05,GB,The United Kingdom,EURO,1805.0,281665.0,176.0,39904.0,202990.56798471176,27223.474516872964
127,2020-06-06,GB,The United Kingdom,EURO,1650.0,283315.0,357.0,40261.0,207717.920790369,27876.810574759475
128,2020-06-07,GB,The United Kingdom,EURO,1557.0,284872.0,204.0,40465.0,212520.30937909792,28540.516830244662
129,2020-06-08,GB,The United Kingdom,EURO,1326.0,286198.0,77.0,40542.0,217398.32458383532,29214.67493842751
130,2020-06-09,GB,The United Kingdom,EURO,1205.0,287403.0,55.0,40597.0,222352.55723751942,29899.36655440715
131,2020-06-10,GB,The United Kingdom,EURO,1741.0,289144.0,286.0,40883.0,227383.5981730886,30594.673333283128
132,2020-06-11,GB,The United Kingdom,EURO,1003.0,290147.0,245.0,41128.0,232492.03822347816,31300.67693015433
133,2020-06-12,GB,The United Kingdom,EURO,1266.0,291413.0,151.0,41279.0,237678.46822162802,32017.459000119743
134,2020-06-13,GB,The United Kingdom,EURO,1541.0,292954.0,202.0,41481.0,242943.4790004745,32745.101198278957
135,2020-06-14,GB,The United Kingdom,EURO,1425.0,294379.0,181.0,41662.0,248287.6613929547,33483.6851797311
136,2020-06-15,GB,The United Kingdom,EURO,1514.0,295893.0,36.0,41698.0,253711.6062320076,34233.29259957538
137,2020-06-16,GB,The United Kingdom,EURO,968.0,296861.0,38.0,41736.0,259215.90435057008,34994.005112910796
138,2020-06-17,GB,The United Kingdom,EURO,1279.0,298140.0,233.0,41969.0,264801.1465815801,35765.90437483663
139,2020-06-18,GB,The United Kingdom,EURO,1115.0,299255.0,184.0,42153.0,270467.9237579736,36549.07204045216
140,2020-06-19,GB,The United Kingdom,EURO,1218.0,300473.0,135.0,42288.0,276216.82671269024,37343.58976485697
141,2020-06-20,GB,The United Kingdom,EURO,1346.0,301819.0,173.0,42461.0,282048.4462786671,38149.53920314958
142,2020-06-21,GB,The United Kingdom,EURO,1295.0,303114.0,128.0,42589.0,287963.373288841,38967.002010429154
143,2020-06-22,GB,The United Kingdom,EURO,1221.0,304335.0,43.0,42632.0,293962.1985761493,39796.059841795715
144,2020-06-23,GB,The United Kingdom,EURO,958.0,305293.0,15.0,42647.0,300045.51297353074,40636.79435234749
145,2020-06-24,GB,The United Kingdom,EURO,921.0,306214.0,280.0,42927.0,306213.90731392254,41489.28719718423
146,2020-06-25,GB,The United Kingdom,EURO,652.0,306866.0,154.0,43081.0,312467.97243026126,42353.62003140509
147,2020-06-26,GB,The United Kingdom,EURO,1118.0,307984.0,149.0,43230.0,318808.2991554861,43229.87451010968
148,2020-06-27,GB,The United Kingdom,EURO,1380.0,309364.0,184.0,43414.0,325235.47832253296,44118.13228839618
149,2020-06-28,GB,The United Kingdom,EURO,890.0,310254.0,100.0,43514.0,331750.1007643416,45018.47502136445
150,2020-06-29,GB,The United Kingdom,EURO,901.0,311155.0,36.0,43550.0,338352.75731384713,45930.984364113734
151,2020-06-30,GB,The United Kingdom,EURO,814.0,311969.0,25.0,43575.0,345044.03880398814,46855.74197174317
152,2020-07-01,GB,The United Kingdom,EURO,689.0,312658.0,155.0,43730.0,351824.53606770263,47792.8294993517
153,2020-07-02,GB,The United Kingdom,EURO,829.0,313487.0,176.0,43906.0,358694.83993792784,48742.3286020389
154,2020-07-03,GB,The United Kingdom,EURO,-29726.0,283761.0,89.0,43995.0,365655.5412476016,49704.32093490357
155,2020-07-04,GB,The United Kingdom,EURO,519.0,284280.0,136.0,44131.0,372707.2308296612,50678.888153045285
156,2020-07-05,GB,The United Kingdom,EURO,624.0,284904.0,67.0,44198.0,379850.49951704365,51666.111911563516
157,2020-07-06,GB,The United Kingdom,EURO,516.0,285420.0,22.0,44220.0,387085.9381426874,52666.07386555609
158,2020-07-07,GB,The United Kingdom,EURO,352.0,285772.0,16.0,44236.0,394414.1375395299,53678.855670123645
159,2020-07-08,GB,The United Kingdom,EURO,581.0,286353.0,155.0,44391.0,401835.68854050717,54704.538980364705
160,2020-07-09,GB,The United Kingdom,EURO,630.0,286983.0,126.0,44517.0,409351.1819785602,55743.20545137923
161,2020-07-10,GB,The United Kingdom,EURO,642.0,287625.0,85.0,44602.0,416961.2086866231,56794.93673826532
162,2020-07-11,GB,The United Kingdom,EURO,512.0,288137.0,48.0,44650.0,424666.3594976359,57859.814496122875
163,2020-07-12,GB,The United Kingdom,EURO,820.0,288957.0,148.0,44798.0,432467.2252445345,58937.92038005057
164,2020-07-13,GB,The United Kingdom,EURO,650.0,289607.0,21.0,44819.0,440364.3967602576,60029.33604514834
165,2020-07-14,GB,The United Kingdom,EURO,530.0,290137.0,11.0,44830.0,448358.46487774124,61134.143146515
166,2020-07-15,GB,The United Kingdom,EURO,1240.0,291377.0,138.0,44968.0,456450.02042992355,62252.42333924947
167,2020-07-16,GB,The United Kingdom,EURO,538.0,291915.0,85.0,45053.0,464639.6542497443,63384.25827845098
168,2020-07-17,GB,The United Kingdom,EURO,641.0,292556.0,66.0,45119.0,472927.95717013866,64529.729619219484
169,2020-07-18,GB,The United Kingdom,EURO,,,,,481315.520024045,65688.91901665377
170,2020-07-19,GB,The United Kingdom,EURO,,,,,489802.93364440143,66861.90812585298
171,2020-07-20,GB,The United Kingdom,EURO,,,,,498390.78886414215,68048.77860191527
172,2020-07-21,GB,The United Kingdom,EURO,,,,,507079.6765162097,69249.61209994242
173,2020-07-22,GB,The United Kingdom,EURO,,,,,515870.1874335381,70464.49027503144
174,2020-07-23,GB,The United Kingdom,EURO,,,,,524762.912449068,71693.49478228162
175,2020-07-24,GB,The United Kingdom,EURO,,,,,533758.4423957336,72936.70727679307
176,2020-07-25,GB,The United Kingdom,EURO,,,,,542857.3681064736,74194.20941366487
177,2020-07-26,GB,The United Kingdom,EURO,,,,,552060.2804142269,75466.08284799564
178,2020-07-27,GB,The United Kingdom,EURO,,,,,561367.7701519311,76752.40923488502
179,2020-07-28,GB,The United Kingdom,EURO,,,,,570780.4281525214,78053.27022943199
180,2020-07-29,GB,The United Kingdom,EURO,,,,,580298.8452489368,79368.74748673594
181,2020-07-30,GB,The United Kingdom,EURO,,,,,589923.6122741161,80698.92266189594
182,2020-07-31,GB,The United Kingdom,EURO,,,,,599655.3200609928,82043.87741001141
183,2020-08-01,GB,The United Kingdom,EURO,,,,,609494.5594425116,83403.69338618092
184,2020-08-02,GB,The United Kingdom,EURO,,,,,619441.9212516022,84778.4522455042
185,2020-08-03,GB,The United Kingdom,EURO,,,,,629497.9963212074,86168.23564308097
186,2020-08-04,GB,The United Kingdom,EURO,,,,,639663.3754842636,87573.1252340096
187,2020-08-05,GB,The United Kingdom,EURO,,,,,649938.649573708,88993.20267338965
188,2020-08-06,GB,The United Kingdom,EURO,,,,,660324.4094224765,90428.54961631972
189,2020-08-07,GB,The United Kingdom,EURO,,,,,670821.2458635076,91879.24771789917
190,2020-08-08,GB,The United Kingdom,EURO,,,,,681429.7497297422,93345.37863322867
191,2020-08-09,GB,The United Kingdom,EURO,,,,,692150.5118541134,94827.02401740513
192,2020-08-10,GB,The United Kingdom,EURO,,,,,702984.123069562,96324.26552553005
193,2020-08-11,GB,The United Kingdom,EURO,,,,,713931.1742090224,97837.18481270138
194,2020-08-12,GB,The United Kingdom,EURO,,,,,724992.2561054358,99365.86353401812
195,2020-08-13,GB,The United Kingdom,EURO,,,,,736167.959591736,100910.38334457869
196,2020-08-14,GB,The United Kingdom,EURO,,,,,747458.8755008641,102470.8258994844
197,2020-08-15,GB,The United Kingdom,EURO,,,,,758865.5946657534,104047.27285383358
198,2020-08-16,GB,The United Kingdom,EURO,,,,,770388.7079193459,105639.80586272509
