,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-03-11,TR,Turkey,EURO,1.0,1.0,0.0,0.0,113222.08991039838,1872.6717066391006
1,2020-03-12,TR,Turkey,EURO,0.0,1.0,0.0,0.0,113222.15512533949,1872.673961612459
2,2020-03-13,TR,Turkey,EURO,4.0,5.0,0.0,0.0,113222.6116299272,1872.689746425967
3,2020-03-14,TR,Turkey,EURO,0.0,5.0,0.0,0.0,113223.8507138081,1872.7325909197707
4,2020-03-15,TR,Turkey,EURO,0.0,5.0,0.0,0.0,113226.26366662885,1872.8160249340322
5,2020-03-16,TR,Turkey,EURO,42.0,47.0,0.0,0.0,113230.241778036,1872.9535783088936
6,2020-03-17,TR,Turkey,EURO,0.0,47.0,0.0,0.0,113236.17633767618,1873.158780884461
7,2020-03-18,TR,Turkey,EURO,144.0,191.0,2.0,2.0,113244.458635196,1873.4451625010201
8,2020-03-19,TR,Turkey,EURO,0.0,191.0,0.0,2.0,113255.47996024207,1873.8262529985527
9,2020-03-20,TR,Turkey,EURO,479.0,670.0,7.0,9.0,113269.63160246097,1874.3155822174608
10,2020-03-21,TR,Turkey,EURO,277.0,947.0,12.0,21.0,113287.30485149934,1874.9266799974444
11,2020-03-22,TR,Turkey,EURO,0.0,947.0,0.0,21.0,113308.89099700375,1875.6730761791273
12,2020-03-23,TR,Turkey,EURO,289.0,1236.0,9.0,30.0,113334.78132862081,1876.568300601984
13,2020-03-24,TR,Turkey,EURO,293.0,1529.0,7.0,37.0,113365.36713599722,1877.6258831071186
14,2020-03-25,TR,Turkey,EURO,343.0,1872.0,7.0,44.0,113401.03970877938,1878.8593535344567
15,2020-03-26,TR,Turkey,EURO,561.0,2433.0,15.0,59.0,113442.19033661409,1880.2822417235452
16,2020-03-27,TR,Turkey,EURO,1196.0,3629.0,16.0,75.0,113489.21030914783,1881.9080775147172
17,2020-03-28,TR,Turkey,EURO,2069.0,5698.0,17.0,92.0,113542.49091602731,1883.7503907480727
18,2020-03-29,TR,Turkey,EURO,1704.0,7402.0,16.0,108.0,113602.42344689908,1885.822711265982
19,2020-03-30,TR,Turkey,EURO,1869.0,9271.0,23.0,131.0,113669.39919140983,1888.1385689036556
20,2020-03-31,TR,Turkey,EURO,1556.0,10827.0,37.0,168.0,113743.80943920602,1890.7114935058503
21,2020-04-01,TR,Turkey,EURO,2704.0,13531.0,46.0,214.0,113826.04547993443,1893.5550149115602
22,2020-04-02,TR,Turkey,EURO,2148.0,15679.0,63.0,277.0,113916.49860324127,1896.6826629593138
23,2020-04-03,TR,Turkey,EURO,2456.0,18135.0,79.0,356.0,114015.56009877351,1900.1079674920634
24,2020-04-04,TR,Turkey,EURO,2786.0,20921.0,69.0,425.0,114123.62125617778,1903.8444583421674
25,2020-04-05,TR,Turkey,EURO,3013.0,23934.0,76.0,501.0,114241.0733651008,1907.9056653635212
26,2020-04-06,TR,Turkey,EURO,3135.0,27069.0,73.0,574.0,114368.30771518912,1912.3051183832445
27,2020-04-07,TR,Turkey,EURO,3148.0,30217.0,75.0,649.0,114505.7155960878,1917.056347247782
28,2020-04-08,TR,Turkey,EURO,3892.0,34109.0,76.0,725.0,114653.6882974464,1922.1728818019487
